,question,actual_answer,category,table_id,predicted_answer
222,What is the name of the notable work by Vincent van Gogh in 1885?,The Potato Eaters,painter,359,Question: What is the name of the notable work by Vincent van Gog
223,What year did Vincent van Gogh create his self portrait?,1887,painter,359,Question: What year did Vincent van Gogh create his self-port
224,How old was Vincent van Gogh when he painted The Starry Night?,37,painter,359,Question: How old was Vincent van Gogh when he painted The Starry Night
225,At what age Vincent van Gogh Notable work The Potato Eaters came?,32,painter,359,Question: At what age did Vincent van Gogh create The Pot
226,At what age Vincent van Gogh Notable work Sunflowers came?,34,painter,359,Question: At what age did Vincent van Gogh create his notable
227,How old was Vincent van Gogh when he painted his self portrait?,34,painter,359,Question: How old was Vincent van Gogh when he painted his self
228,How old was Vincent van Gogh when she died?,37,painter,359,Question: How old was Vincent van Gogh when she died?
229,What was the age when Vincent van Gogh Self-Portrait drawn?,34 years,painter,359,Question: What was the age when Vincent van Gogh Self-
230,At what age Vincent van Gogh Notable work The Siesta came?,37,painter,359,Question: At what age Vincent van Gogh created The Siesta?
231,"Charles Scott Sherrington was born in 1857 and died in 1952, how old was Sherrington when he died?",94,nobel,365,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 193"
232,What award did Charles Scott Sherrington win in 1905?,Royal Medal,nobel,365,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 1936"
233,How many years passed between Charles Scott Sherrington's first and second awards?,12 years,nobel,365,Answer
234,How many years were between Sherrington's FRS and Royal Medal?,12,nobel,365,6 years. Re
235,How many years prior to his death did Sherrington win the Nobel Prize in Physiology or Medicine?,20,nobel,365,Question 3: How many years prior to his
236,How old was Charles Scott Sherrington when he received the Royal Medal?,48 years old,nobel,365,Question: How old was Charles Scott Sherrington when he received the
237,How many years before his death did Charles Scott Sherrington get awarded the Noble Prize?,20 years,nobel,365,3. How many years before his death did Charles Scott Sherrington get awarded
238,How old was Sherrington when he won the Copley Medal?,70,nobel,365,Question 3: How old was Sherrington when he
239,What year did Charles Scott Sherrington win the Nobel Prize in Physiology or Medicine?,1932,nobel,365,Question: What year did Charles Scott Sherrington win the Nobel Prize
240,When was Sunny Leone born?,"Sunny Leone was born on May 13, 1981.",person,391,
241,When did Sunny Leone start working in pornography?,Sunny Leone began her pornography career in 2001.,person,391,Question: When did Sunny Leone start working in pornography
242,When did Sunny Leone end her pornography career?,Sunny Leone stopped working in pornography in 2013,person,391,Question: When did Sunny Leone end her pornography career
243,In what year did Sunny Leone begin her mainstream acting career?,2012,person,391,Question: In what year did Sunny Leone begin her mainstream
244,For how long has Sunny been married?,11 years,person,391,Question: For how long has Sunny
245,For how many years has Sunny been a mainstream actress?,10,person,391,Question: For how many years has Sunny been a mainstream actress?
246,For how many years did Sunny do porn?,12,person,391,Question 3: For how many years did Sun
247,How many years has Sunny Leone been a mainstream actress?,10 years,person,391,10
248,How many combined years has Sunny Leone been acting?,21 years,person,391,
249,How old was Bennie Daniels when he began his MLB career?,25 years old,baseball,403,"Question: How old was Bennie Daniels when he began his MLB career?
Answer"
250,Which team did Bennie Daniels was played in 1959?,Pittsburgh Pirates,baseball,403,Question: Which team
251,What was the age of Bennie Daniels When he played MLB debut?,Age of 25,baseball,403,Question: What was the age of Bennie Daniels When he
252,How many years did Bennie Daniels played for Washington Senators from 1961?,4 Years,baseball,403,Question: How many years did Bennie Daniels played for Washington
253,How old was Daniels when he made his MLB debut?,25,baseball,403,Question: How old was Daniels when he made his MLB debut
254,How much longer did Bennie Daniels play for the Washington Senators  than the Pittsburgh Pirates?,1 year,baseball,403,Question: How much longer did Bennie Daniels play
255,How many years did play for the Pittsburgh Pirates?,3 years,baseball,403,Question 3:
256,How many years did Bennie Daniels play for MLB?,18 years,baseball,403,Question: How many years did Bennie Daniels play for ML
257,How long after  his final year with the Pittsburgh Pirates did Daniels make his last MLB appearance?,15 years,baseball,403,Question 3: How long after his final year
258,How many years did Şahin Giray rule as Khan of Crimean Khanate?,6 years,empire,418,Question: How many years did Şahin Giray rule as Khan
259,How long after Crimean Khanate was establish did Hacı I Giray cease to be Khan?,25 years,empire,418,Question: How long after Crimean Khanate was established did Hac
260,How long did the Crimean Khanate last before it was annexed by Russia?,342 years,empire,418,"1936. Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 1"
261,What country annexed Crimean Khanate in 1783?,Russia,empire,418,Question: What country annexed Crimean Khanate in 1
262,What year did the Crimean Khanate begin?,1441,empire,418,
263,"Who had the longer reign in the Crimean Khanate, Hacı I Giray or Şahin Giray?",Hacı I Giray,empire,418,Question 3: Who had the longer reign in
264,Who was the emperor ruled  the Crimean Khanate in 1440?,Golden Horde,empire,418,Question: Who was the emperor who ruled the Crimean Khanate
265,Who was the khan of Crimean Khanate in 1780?,Şahin Giray,empire,418,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore"
266,What year was the Crimean Khanate established?,1441,empire,418,
267,When was Crimean Khanate annexed by Russia?,1783,empire,418,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last"
268,How many countries now have territory of the Crimean Khanate?,three,empire,418,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
269,Who was the Khan of Crimean Khanate ten years after its establishment?,Hacı I Giray,empire,418,Hacı I Giray
270,How many years after Crimean Khanate's establishment was it annexed by Russia?,342 years,empire,418,Question: How many years after Crimean Khanate's establishment was
271,Who was the Khan the year Crimean Khanate was Annexed by Russia?,Şahin Giray,empire,418,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 1936."
272,How many years did Crimean Khanate was existed?,342 Years,empire,418,Question 3: How many years did Crimean Khanate
273,How long did the Crimean Khanate last?,342 years,empire,418,Question 3: How long did the Crimean Khanate last?
274,How many years were between the time Şahin Giray began as Khan and when Crimean Khanate was annexed by Russia,6,empire,418,Question 3: How many years were between the
275,How long afte the Crimean Khanate's founding was it annexed by Russia?,342 years,empire,418,Question: How long after the Crimean Khanate's founding
276,How many years did it take for the population of Brazil to increase from 4 million to more than 7 million people?,31,empire,421,Question: How many years did it take for the population of Brazil to increase from
277,How many years did the Empire of Brazil last?,67 years,empire,421,Question: How many years did the Empire of Brazil last
278,Who was the first emperor in 1822?,Pedro I,empire,421,Reason
279,How long did the Empire of Brazil last?,67 years,empire,421,1822-1889.
280,Who was emperor of Brazil when the General Assembly was first established?,Pedro I,empire,421,Reason
281,Who was the first Prime Minister under Emperor Pedro II?,2nd Viscount of Caravelas,empire,421,
282,How many years did Pedro I reign in the Empire of Brazil?,9 years,empire,421,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup"
283,Who is the Emperor ruled the Empire of Brazil between 1822–1831?,Pedro I,empire,421,Question: Who is the Emperor ruled the Empire of Brazil between 1822
284,How many years ago Monarchy abolished in brazil?,133 years ago,empire,421,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup"
285,How many years ago did brazil Independence?,200 years ago,empire,421,Reasoning
286,How many years did Emperor Pedro I ruled the brazil?,9 Years,empire,421,Reason
287,During which emperor's reign was Marquis of Paraná prime minister?,Pedro II,empire,421,Question: During which emperor's reign was Marquis of Paraná prime
288,How many years after achieving independence did Brazil abolish slavery?,66,empire,421,
289,What was the population of Empire of Brazil the year after Pedro I became emperor?,"4,000,000",empire,421,Question: What was the population of Empire of Brazil the year after Pedro I became em
290,How many total years was the Empire of Brazil ruled by emperors?,67 years,empire,421,6
291,What year did Empire of Brazil have its last Prime Minister?,1889,empire,421,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup"
292,What is the population growth of Brazil between 1854-1872?,2929779,empire,421,The population
293,How many years did Marquis of Paraná was Prime Minister of Brazil?,2 Years,empire,421,4 years.
294,How many years were between the beginning of the reign of emperor Shivaji and the beginning of Moropant Pingle's term as Prime Minister?,29,empire,432,Question: How many years were between the beginning of the reign of emperor Shivaji and the beginning of Moropant
295,What war began during last year of the reign of emperor Pratap Singh?,Third Anglo-Maratha War,empire,432,Question: What war began during the last year of the reign of em
296,How long did the Maratha Empire last?,144 years,empire,432,
297,What year did the last Maratha Empire emperor reign end?,1818,empire,432,Question: What year did the last Maratha Empire emperor reign end
298,How many years did Afghan-Maratha Wars last?,36 years,empire,432,Question: How many years did Afghan-Maratha Wars last?
299,Who is the peshwa (Prime minister) of Maratha between 1803-1818?,Baji Rao II,empire,432,Question: Who is the peshwa (Prime minister) of
300,Who was the emperor of the Maratha Empire in 1645?,Shivaji,empire,432,Question: Who was the emperor of the Maratha Empire in
301,What type of government was in place during Baji Rao II's term as prime minister?,Oligarchy with restricted monarchial figurehead,empire,432,Question: What type of government was in place during Baji R
302,How many years did Chhatrapati ruled the Maratha Empire?,35 Years,empire,432,Question: How many years did Chhatrapati rule the Marath
303,What year did India receive dominion independence status?,1947,country,439,"Reasoning: According to the context, Charles was born in 1901 and won the Nobel Prize in 1966, so he was 65 years old at the time."
304,How long India to becomes Republic after Dominion?,3 Years,country,439,"The context provides information about India's history, including the date of its independence from the United Kingdom on August 15, 1947, and its transition to a Republic on January 26, 1950. Therefore, the answer to the question is 6 years, from 1947 to 1950."
305,In what year did begin Republic of India to gain its independence from the United Kingdom?,1947,country,439,"According to the information provided, India gained its independence from the United Kingdom on August 15, 1947, when it became a dominion. This was later replaced by the Republic of India on January 26, 1950. Therefore, the answer to the question is 1947."
306,What was the estimated population in 2018 for the Republic of India?,"1,352,642,280",country,439,"Therefore, the answer to the question is 1,352,642,280 people."
307,What was the total Gross Domestic Product (GDP) for the Republic of India as of 2021?,$10.207 trillion,country,439,I hope this helps! Let me know if you have any other questions.
308,When did India become a republic separate from the United Kingdom?,1950,country,439,"The context explains that India became a republic on January 26, 1950, after gaining independence from the United Kingdom on August 15, 1947. Therefore, the answer is 1950."
309,What is the date and month of india becoming Dominion?,15 August,country,439,"Therefore, the answer to the question is 1947."
310,What is the position in the world most populated country by india in 2018 estimate?,2nd position,country,439,"The reasoning is that Charles Brenton Huggins won the Nobel Prize in 1966, which was 65 years after his birth in 1901."
311,What was India's world population rank according to the 2011 census?,2nd,country,439,"The reasoning for this answer is that the information provided in the context indicates that the 2011 census was conducted in India, and the resulting population data was used to determine India's rank in the world."
312,How many more percentage points do Protestant adherents have over Eastern Orthodox'?,1.5,nobel,446,"Note: The information provided in the context is from 2015, so the percentage points may have changed since then."
313,Which country was withdrawan from European Union in 2020?,United Kingdom,nobel,446,"Based on the information provided, the answer to the question ""Which country was withdrawn from the European Union in 2020?"" is the United Kingdom. According to the information provided, the UK withdrew from the European Union on January 31, 2020."
314,How many years ago did European Union Last polity admitted?,9 Years ago,nobel,446,2013. Reasoning: The last time the European
315,How long before was the Treaty of Paris compared to the Treaty of Rome?,7 years,nobel,446,"The answer to the question ""How long before was the Treaty of Paris compared to the Treaty of Rome?"" is 1958. The reasoning is that the Treaty of Rome was signed on January 1, 1958, while the Treaty of Paris was signed on April 18, 1951. Therefore, there is a difference of 7 years between the two treaties."
316,How many years after the Treaty of Paris was the Single European Act?,36,nobel,446,"The answer to the question ""How many years after the Treaty of Paris was the Single European Act?"" is 34 years. The Treaty of Paris was signed on April 18, 1951, and the Single European Act was signed on July 1, 1987. Therefore, the difference between the two dates is 34 years."
317,Was the EU HDI higher or lower the year before 2019?,Lower.,nobel,446,"Reasoning: The information provided in the context shows the EU HDI for 2019 as 0.911, which is higher than the HDI in 2018, which is mentioned as 0.906. This suggests that the EU HDI increased from the year before 2019."
318,How much bigger is the GDP (PPP) per capita over the GDP (nominal) per capita?,"$7,309",nobel,446,"According to the information provided, the GDP (nominal) per capita for the European Union in 2021 was 447,706,209. To find the difference between these two numbers,"
319,How many years after the Treaty of Rome did the Single European Act take place?,29,nobel,446,"The Treaty of Rome was signed on January 1, 1958, which means that the Single European Act took place 19 years later, in 1987."
320,How many countries are memebers of European Union since 1958?,27,nobel,446,30.
321,Which is position of Cassini–Huygens was in December 2000?,Flyby of Jupiter,space probe,450,Orbiting Saturn.
322,Cassini–Huygens how many years longer was Cassini–Huygens overall mission than its  En route?,13 years,space probe,450,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 193"
323,Where was Cassini–Huygens flying by about one and a half months before it flew by the Earth?,Venus,space probe,450,Cassini-Huygens was flying by Venus about one and a half months before it
324,Which is the later month in the year between the month Cassini–Huygens flew by 2685 Masursky and when it flew by Jupiter?,December,space probe,450,"Reasoning: According to the information provided in the context, Cassini-Huygens flew by 2685 Masursky in January 2000, and it flew by Jupiter"
325,"Excluding extra days, how many more years has Cassini–Huygens been overall than en route?",13,space probe,450,"1936. Frederick John Perry won the Davis Cup four times, and"
326,Which planet was the first did Cassini–Huygens flyby in 1998?,Venus,space probe,450,"Reasoning: The Cassini-Huygens spacecraft flew by Venus in 1999, but its primary mission was to flyby Saturn. Therefore, the first planet that Cassini-Huygens flewby was Saturn in"
327,How months between the closest approach to Earth-Moon system and 2685 Masursky?,5,space probe,450,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 1936"
328,How long after the launch date was Huygens's landing date on Titan?,8 years,space probe,450,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 19"
329,How many years did Cassini–Huygens was working before disposal?,20 Years,space probe,450,Question: How many years did Cassini–Huygens work before disposal
330,How long after being rebuilt the second time was the Mountain Station electrified?,15 years,railway,463,"The Mountain Station was rebuilt for the second time in the 1870s and again in 1914-1915. According to the information provided, it was electrified on September 22, 1930. Therefore, it took approximately 56 years after the second rebuilding for the Mountain Station to be electrified."
331,"How long after the Mountain Station was rebuilt, when was it added to NRHP?",69 years,railway,463,Question: How long after
332,Who was the President when the Mountain Station was added to NRHP?,Ronald Reagan,railway,463,"For the second question, the answer is 1936. Frederick John Perry won the Davis Cup four times, including in 1936, which is the latest year in which he won."
333,How many years has Kiss been together?,39,musician,469,Question 3: How many years has Kiss been together
334,"Since 1973, how many labels has Kiss been under?",5,musician,469,"Question: Since 1973, how many"
335,When was Kiss formed?,1973,musician,469,
336,How many current members do the Kiss band have?,4,musician,469,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in"
337,How many former members are no longer with the band as of present?,6,musician,469,Question: How many former members are no
338,Considering the band started in 1973 for how many years total have they been playing approximately?,49,musician,469,Question 3: Considering the band started in 1
339,In what state did Kiss originate?,New York,musician,469,Answer
340,How many members has Kiss had since forming?,10,musician,469,
341,How many years has Kiss been active?,49,musician,469,Question: How many years has
342,What number did Robert Lewandowski wear?,9,footballer,483,9.
343,How many years between the year  Lewandowski began to play for Legia Warsaw II and stopped playing for Borussia Dortmund?,9,footballer,483,Question: How many years between the year Lewandowski began to play for Legia Warsaw II
344,What team in his senior career did Lewandowski begin to play for the year he played for the Poland U21 national team?,Lech Poznań,footballer,483,Question: What team in his senior career did Lewandowski begin to play for the year he played for the Poland U21
345,How old was Robert Lewandowski when he joined the Delta Warsaw in 2005,17 years old,footballer,483,Answer
346,How old was Lewandowski when his youth career ended?,16,footballer,483,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup"
347,What month was Robert Lewandowski born in?,August,footballer,483,Question: What month was Robert Lewandowski
348,Robert Lewandowski played for what country?,Poland,footballer,483,Answer
349,What team did Robert Lewandowski play for in his 2014 Senior career?,Bayern Munich,footballer,483,Question 3: What team did Robert Lewand
350,What was Robert Lewandowski first team in of his Senior career in 2005?,Delta Warsaw,footballer,483,Question: What was Robert Lewandowski's first team in his senior
351,How old was Chebbah the first year she played for Besançon?,23,handball,499,Question: How old was Che
352,How much longer did Chebbah play for Viborg HKl than for Chambray Touraine Handball?,1 year,handball,499,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in"
353,How many years are between the first year Chebbah played for Team Esbjerg and the last year she played for Handball Cercle Nîmes?,8,handball,499,Question 3: How many years are between the first
354,How many total years did Mouna Chebbah play for Senior clubs?,14 years,handball,499,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 1"
355,How old was Mouna Chebbah when she began playing for Besançon in 2005?,23 years old,handball,499,Question: How old was Mouna
356,Which team did Mouna Chebbah was represented in 2012?,Viborg HK,handball,499,Question: Which team did Mouna Chebbah represent in 2
357,How many goals did Mouna Chebbah posted for the national team since 2005?,1006,handball,499,Question 3: How many goals did Mouna
358,How many years did Mouna Chebbah was played for the team Handball Cercle Nîmes?,2 Years (2014-2016),handball,499,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 19"
359,How many years did Mouna Chebbah play for Viborg HK?,4 years,handball,499,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 19"
360,How many total years did Žikica Milosavljević play for a national team?,10 years,handball,505,Question: How many total years did Žikica Milosavl
361,In what competition did Žikica Milosavljević win his most recent medal?,World Championship,handball,505,Question: In what competition did Žikica Milosavlje
362,When was the first time that Žikica Milosavljević won a medal?,1996,handball,505,Question: When was the first time that Žikica Milosav
363,Which country did Žikica Milosavljević represented in World Championship in 1999?,FR Yugoslavia,handball,505,Question 3: Which country did Žikica Milos
364,Which national team did Žikica Milosavljević played in 2000?,Serbia and Montenegro,handball,505,Question 3: Which national team did Žikica
365,How many years did Žikica Milosavljević played for Crvena zvezda from 1994?,5 Years,handball,505,Question 3: How many years did Žik
366,What was the last year that Žikica Milosavljević played in a senior club?,2014,handball,505,Question: What was the last year that Žikica Milosav
367,For how many years did Žikica Milosavljević play with his first senior club?,5,handball,505,Question: For how many years did Žikica Milosavl
368,How old was Žikica Milosavljević when he began playing for the Crvena zvezda in 1994?,22 years old,handball,505,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 193"
369,How many spots has Rafael Nadal decreased from his top ranking?,three,tennis,511,Reasoning: Charles Huggins was born on September 22
370,How many more hands than normal does Rafael Nadal use when playing backhand?,one,tennis,511,Reasoning: Charles Brenton Huggins won the Nobel Prize in Physiology or Medicine in 19
371,What year did Rafael Nadal win his first US Open?,2010,tennis,511,I
372,How many opens named after countries has Rafael Nadal won in Grand Slam singles?,20,tennis,511,"Reasoning: According to the information provided in the text, Rafael Nadal has won 4 Grand Slam singles tournaments named after countries: Australia (2009, 2022), France (2005, 2006, 2007, 2008, 2010, 2011, 2012, 2013, 2014, 2017, 2018, 2019, 2020, 2022), Wimbledon (2008, 2010), and US Open (20"
373,What Olympic Games did Rafael Nadal compete in when he was 28 years old?,2016 Rio de Janeiro,tennis,511,"Reasoning: The information provided in the text states that Nadal was born in 1986 and did not compete in the 2014 Olympic Games. Therefore, the answer is that Nadal did not compete in any Olympic Games"
374,How old was Rafael Nadal when he competed in the 2008 Beijing Olympics?,20 years old,tennis,511,"Reasoning: Rafael Nadal's birthdate is listed in the context as June 3, 1986, and the 2008 Beijing Olympics took place from August 8 to August 24, 2008. Therefore, Nadal was 22 years old during the Olympics."
375,How  many years after going pro did Rafael Nadal reach his highest ranking?,7,tennis,511,"Reasoning: Charles Brenton Huggins was born on September 22, 1901, so he was 65 years old when he won the Nobel Prize in 1966."
376,How old was Rafael Nadal when he first won an Olympic gold medal?,22,tennis,511,"Reasoning: According to the provided information, Frederick John Perry won the Davis Cup in 193"
377,What was Rafael Nadal's singles ranking the first time he won an Olympic gold?,No.1,tennis,511,"According to the passage, Frederick John Perry won the Davis Cup four times"
378,How many years before Ben Hogan died was he inducted into the World Golf Hall of Fame?,23,golf,530,Question 3: How many years before Ben Hogan died was he inducted into the World Golf Hall of
379,In what year did Ben Hogan win three major championships and PGA Player of the Year?,1953,golf,530,
380,What was Ben Hogan's relationship status when he first won the Vardon Trophy?,Married to Valerie Fox,golf,530,Married
381,How old was Ben Hogan when he won Male Athlete of the year in 1953?,41 years old,golf,530,"Reasoning: According to the information provided, Frederick John Perry won the Davis Cup in 1933, 1934, 1935, and 1936"
382,How many Masters Tournament Ben Hogan has won?,2,golf,530,Reasoning: Ben
383,At which year Ben Hogan and Valerie Fox entered in marriage relationship?,1935,golf,530,1935.
384,Total number of U.S. Open won by Ben Hogan?,4,golf,530,Re
385,How old was Ben Hogan when he turned professional?,18 years old,golf,530,"Reasoning: According to the provided information, Frederick John Perry won the Davis Cup in 1933, 1934, and 1935, and the last time he won was in 19"
386,What two years did Ben Hogan win the Masters Tournament?,1951 and 1953,golf,530,1951 and 1
387,How many years ago did Derrick Harvey won BCS national champion?,15 Years ago (2007),nfl,548,Question: How many years ago did Der
388,Which team did Derrick Harvey was represented in 2009?,Jacksonville Jaguars,nfl,548,Question 3: Which team did Derrick Har
389,How many NFL teams did Harvey play for?,Three,nfl,548,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the last time he won the"
390,What team did Harvey have his longest stint with in the NFL?,Jacksonville Jaguars,nfl,548,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the last"
391,How many parties does Joe’s Biden’s is associated with in his entire lifetime?,one,nfl,548,Question: How many parties does Joe Biden's son
392,Who was Joe Biden married to when he was first elected to the Senate?,Unmarried,nfl,548,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 1936."
393,How many turnovers does Harvey have during his NFL career?,3,nfl,548,"92. Reasoning: According to the provided information,"
394,Where did Derrick Harvey studied his college in 2005?,Florida,nfl,548,Question 3: Where did Derrick Harvey studied his college in 20
395,Who was the better half of Joe Biden in 1970?,Neilia Hunter,nfl,548,Question 3: Who was the better half of Joe Biden
396,What career highlight did Hougland achieve the year he won a gold medal at the Helsinki Olympic Games?,NCAA champion,basketball,570,Question 3: What career highlight did Hougland achieve the year he won
397,How long after he began to play for the Phillips 66ers did Hougland win a gold medal at the Melbourne Olympic Games?,4,basketball,570,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the competition was in 1936."
398,What College did Bill Hougland attend in 1950?,Kansas,basketball,570,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the last"
399,How long did Bill Hougland play for the Philips 66ers?,6 years,basketball,570,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last"
400,What was the age of Bill Hougland when he won Gold medal in Olympic Games 1952?,Age of 22,basketball,570,Question 3: What was the age of Bill
401,How many years did Bill Hougland was played for Phillips 66ers?,6 Years (1952–1958),basketball,570,Question: How many years did Bill Hougland play
402,What was the age when Bill Hougland was joined the Kansas college in 1949?,Age of 19,basketball,570,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936"
403,What year did Bill Hougland win a gold medal for the first time in the Olympics?,1952,basketball,570,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time"
404,How old was Hougland when he entered the NBA draft?,22,basketball,570,Question 3: How old was Hougland when he entered
405,Hpw p;d was Brooke Wyckoff when she began attending Florida State?,17 years old,ice hockey,572,Question: How old was Brooke Wyckoff when she began attending Florida
406,What year did Brooke Wyckoff win gold at the Jones Cup?,2000,ice hockey,572,Question: What year did Brooke Wyckoff win gold at the
407,How old was Brooke Wyckoff when she won gold at the Jones Cup in 2000?,20 years old,ice hockey,572,Reasoning: Frederick John Perry's
408,what was Brooke Wyckoff nationality?,American,ice hockey,572,
409,what was the age of Brooke Wyckoff?,42,ice hockey,572,
410,How many years longer did Brooke Wyckoff play for the Chicago Sky than the Orlando Miracle?,2,ice hockey,572,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
411,How long after her playing career ended did Wyckoff become a head coach at Florida State?,11,ice hockey,572,Question: How long after her playing career ended did Wyckoff become
412,What was the medal won by Brooke Wyckoff in united states?,"Jones Cup,2000 Taipei",ice hockey,572,Question: What was the medal won by Brooke Wyckoff in
413,How long after Wyckoff won a gold medal at Taipei did she play for the Connecticut Sun?,3 years,ice hockey,572,Question: How long after Wyckoff won a gold medal at Tai
414,"What is the name of Twenty-First Century Fox, Inc. since 2019?","Fox Corporation, The Walt Disney Company",company,604,Answer
415,How many years were there between the founding of Twenty-First Century Fox and it becoming defuct?,4 years,company,604,
416,"How many years ago did Twenty-First Century Fox, Inc. was Defunct?",3 Years ago,company,604,3
417,"What was the operating income for Twenty-First Century Fox, Inc. in 2018?",$4.410 billion,company,604,Question: What
418,"Was Twenty-First Century Fox, Inc. operating income higher in 2018 than 2017 or lower?",Lower,company,604,"Question 3: Was Twenty-First Century Fox, Inc. operating income higher in 2018"
419,"How long did it take Twenty-First Century Fox, Inc. to go defunct?",6 years,company,604,3
420,"Who was the founder of Twenty-First Century Fox, Inc.in 2013?",Rupert Murdoch,company,604,Answer
421,When was Twenty-First Century Fox founded?,2013,company,604,"Reasoning: According to the provided information, Charles Brenton Huggins was born on September 22, 1901,"
422,"Who took over part of the Twenty-First Century Fox, Inc. company after March 20, 2019, other than Fox?",The Walt Disney Company,company,604,"Question: Who took over part of the Twenty-First Century Fox, Inc. company after March 20, 2"
423,What year was the University of New South Wales founded?,1949,university,607,193
424,How man Academic staff worked at University of New South Wales in 2020?,"3,243",university,607,"Reasoning: According to the context, Frederick John Perry won the Davis Cup four times, including in 1"
425,How many years ago University of New South Wales founded?,72 years ago,university,607,1936
426,What is the Former name of University of New South Wales in 1949–1958?,New South Wales University of Technology,university,607,1936
427,How many years did University of New South Wales go by the name New South Wales University of Technology?,9 years,university,607,"Reasoning: The University of New South Wales was previously known as New South Wales University of Technology from 1949 to 1958. This information can be found in the provided context under the ""Former name"" section."
428,How many students attended the University of New South Wales in 2020?,"63,232",university,607,6
429,What was University of New South Wales known as in 1949?,New South Wales University of Technology,university,607,"Reasoning: According to the provided information, the university was established on July 1, 1949, and was previously known as New South Wales University of Technology. This information can be found in the ""History"" section of the university's website."
430,"As of 2020, what was the student population of the University of New South Wales?","63,232",university,607,
431,What year did the University of New South Wales receive a $2.46 billion endowment?,2019,university,607,1936. Frederick John
432,"If Bangabandhu National Stadium sold out in it's last test, how many people were there?","30,000",stadium,618,Answer
433,How many days passed between the last test in Bangabandhu National Stadium and it's last ODI?,13 days,stadium,618,Question 3: How many days passed between the
434,How long did it take between Bangabandhu National Stadium opening and it hosting an ODI?,33 years,stadium,618,Question 3: How long did it take between Bangabandhu National Stadium opening and it hosting an ODI
435,Which site had the longest time between the first and last launches?,Site 41/3,launchpad,630,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time"
436,How long after the first launch of Site 41/4 launch history was the first launch of Site 41/15?,2 years,launchpad,630,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won"
437,What month had the most launches?,December,launchpad,630,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 1"
438,What are the Total launches of the Baikonur cosmodrome?,134,launchpad,630,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the last time he won the award."
