"question","actual_answer","category","table_id","predicted_answer"
"How many years ago Supreme Administrative Court was established?","146","court","254","The Supreme Administrative Court was established 147 years ago, in 1876."
"Who is the vice president of Supreme Administrative Court when Rudolf Thienel was president in 2015?","Anna Sporrer","court","254","Anna Sporrer"
"Who is the Vice President of Supreme Administrative Court in 2015?","Anna Sporrer","court","254","Anna Sporrer"
"How long has Rudolf Thienel been President of Supreme Administrative Court?","8 years","court","254","Rudolf Thienel has been President of the Supreme Administrative Court since January 1, 2014."
"How long after its establishment did Supreme Administrative Court have Rudolf Thienel as its President?","138 years","court","254","7 years"
"Who is the president of Supreme Administrative Court in 2020?","Rudolf Thienel","court","254","Rudolf Thienel"
"How old did the Supreme Administrative Court turn the year Rudolf Thienel became President?","138 years","court","254","The Supreme Administrative Court turned 138 years old when Rudolf Thienel became President in 2014."
"How many years after Rudolf Thienel became President did Anna Sporrer became Vice President?","zero","court","254","Anna Sporrer became Vice President in the same year (2014) that Rudolf Thienel became President."
"Who is the Deputy President of Supreme Court of Israel in May 2022?","Uzi Vogelman","court","257","Uzi Vogelman"
"How many years did Supreme Court of Israel was established?","74 years","court","257","The Supreme Court of Israel was established in 1948, therefore the answer is 74 years."
"Who is the president of Supreme Court of Israel in 2019?","Esther Hayut","court","257","Esther Hayut"
"How much longer will Esther Hayut's term as president be than Uzi Vogelman's term as deputy president when their lead positions end?","4 years","court","257","Esther Hayut's term as president will be 1 year longer than Uzi Vogelman's term as deputy president when their lead positions end."
"How many years between when Uzi Vogelman term as deputy president begins and when his Jurist term ends?","2","court","257","1 year.Uzi Vogelman's Jurist term ends on October 6, 2024, while his Deputy President term begins on May 9, 2022. Therefore, the difference between the two dates is 1 year."
"How long after the Supreme Court of Israel was established did Esther Hayut become president?","69 years","court","257","Esther Hayut became president 74 years after the Supreme Court of Israel was established."
"What is the number of other positions in the Supreme Court of Israel than the ones' Hayut and Vogelman have?","13","court","257","13"
"For approximately how many more years has Esther Hayut been with the Supreme Court of Israel vs Uzi Vogelman?","5","court","257","Esther Hayut has been with the Supreme Court of Israel for approximately 6 years longer than Uzi Vogelman."
"How many years later did Esther Hayut become President after the start of Supreme Court of Israel?","69","court","257","Sure! Here's the answer to the question:5 years. Esther Hayut became President of the Supreme Court of Israel in 2017, 5 years after the start of the court in 1948."
"How many total wins did Casey Mears accumulate in NASCAR?","Two","martial artist","264","Casey Mears has won 1 race in NASCAR."
"How many years ago did Casey Mears last participated in IndyCar Series?","21 Years ago (2001)","martial artist","264","The question asks how many years ago Casey Mears last participated in the IndyCar Series. According to the information provided, Casey Mears last participated in the IndyCar Series in 2001. Therefore, as of the current year (2022), it has been 21 years since Casey Mears last participated in the IndyCar Series."
"How many years ago did Casey Mears received the award of Coca-Cola 600 winner?","15 Years ago (2007)","martial artist","264","The question asks how many years ago Casey Mears received the award of Coca-Cola 600 winner, and the answer can be found in the context provided.According to the context, Casey Mears won the Coca-Cola 600 in 2007. Therefore, as of 2022, it has been 15 years since Casey Mears received the award of Coca-Cola 600 winner.So, the answer is 15 years."
"How many years did Casey Mears participated in NASCAR Xfinity Series?","17 Years (2001-2017)","martial artist","264","Casey Mears participated in the NASCAR Xfinity Series for 10 years, from 2001 to 2017."
"What was the last race that Casey Mears ran in the Champ Car Series in 2001?","Marlboro 500","martial artist","264","The last race that Casey Mears ran in the Champ Car Series in 2001 was the Marlboro 500 at California."
"How many years did Casey Mears career last in the Champ Car series?","2 years","martial artist","264","Casey Mears' Champ Car career lasted for 2 years, from 2000 to 2001."
"What year did Casey Mears have his first Daytona 500 race?","2003","martial artist","264","2003"
"How many years did it take for Mears to win a NASCAR Cup Series race?","Four","martial artist","264","It took Casey Mears 4 years to win a NASCAR Cup Series race, with his first win coming in 2007 at the Coca-Cola 600."
"What state have all four of his debut and final races in NASCAR series' occured in?","Florida","martial artist","264","Florida"
"How many top 10 NASCAR finishes does Cody Ware have over all series?","2","racing","265","Cody Ware has 1 top 10 finish in NASCAR over all series."
"How many different NASCAR series has Cody Ware competed in?","4","racing","265","Cody Ware has competed in 5 different NASCAR series:1. NASCAR Cup Series2. NASCAR Xfinity Series3. NASCAR Camping World Truck Series4. NASCAR PEAK Mexico Series5. IndyCar Series"
"How old was Cody Ware when he debut in the NASCAR Cup Series?","22 years old","racing","265","Cody Ware was 21 years old when he debuted in the NASCAR Cup Series in 2017."
"How many years did Cody Ware race in the NASCAR Xfinity Cup Series?","7 years","racing","265","6 years"
"How many years ago did Cody Ware won Lamborghini Super Trofeo North America Rookie of the Year 2014?","8 Years ago","racing","265","8 years ago"
"What was the age when Cody Ware participated first race in NASCAR PEAK Mexico Series 2014?","Age of 19","racing","265","Cody Ware was 19 years old when he participated in his first race in the NASCAR PEAK Mexico Series in 2014."
"How many races particiapted by Cody Ware in NASCAR Xfinity Series since 2014?","28 races","racing","265","Cody Ware has participated in 28 races in the NASCAR Xfinity Series since 2014."
"How old was Cody Ware when he competed in the NASCAR PEAK Mexico Series?","19 years old","racing","265","26 years old"
"What year did Cody Ware race for his first NASCAR Cup series race?","2017","racing","265","2017"
"How many years ago did Tony Stewart was awarded IROC champion?","16 Years ago (2006)","racing","272","Tony Stewart was awarded IROC champion in 2006. Therefore, as of the current year (2022), it has been 16 years since he won the IROC championship."
"What was the age when Tony Stewart first participated in IndyCar Series career?","Age of 21","racing","272","Tony Stewart's age when he first participated in the IndyCar Series was 25 years old."
"What year did Tony Stewart win his first NASCAR Cup Series Race?","2002","racing","272","Tony Stewart's first NASCAR Cup Series race was in 1999 at the Daytona 500."
"How many major American series' has Stewart won a race in?","Four","racing","272","Tony Stewart has won races in all three major American series:* NASCAR Cup Series: 49 wins* NASCAR Xfinity Series: 11 wins* IndyCar Series: 3 winsTherefore, the answer to the question is 3."
"At what age was Stewart inducted into the NASCAR Hall of Fame?","49","racing","272","Tony Stewart was inducted into the NASCAR Hall of Fame in 2020. He was 48 years old at the time of his induction."
"How many total top 10s in any NASCAR series does Stewart have?","354","racing","272","Tony Stewart has 308 top 10s in NASCAR series."
"What year did Tony Stewart win his last NASCAR Series Cup Race?","2016","racing","272","Tony Stewart's last NASCAR Cup Series win was in 2016, at the Toyota/Save Mart 350 at Sonoma."
"How old was Tony Stewart when he won his first 2002 NASCAR Series Race?","31 years old","racing","272","Tony Stewart was 31 years old when he won his first NASCAR Cup Series race in 2002."
"How many times did  Tony Stewart wins NASCAR Cup Series from 1999-2016?","49 wins","racing","272","Tony Stewart won the NASCAR Cup Series three times: in 2002, 2005, and 2011."
"How many medals won by B. J. Neufeld for Manitoba from 2007 to present?","Two","curling","281","The answer to the question ""How many medals won by B. J. Neufeld for Manitoba from 2007 to present?"" is 2.B. J. Neufeld won 2 medals for Manitoba:* Silver medal at the 2019 World Men's Curling Championship* Silver medal at the 2021 Tim Hortons Brier"
"How many total medals has B.J. Neufeld win in all Tim Horton Brier events?","4","curling","281","One silver medal."
"How old was B. J. Neufeld when he received his last medal?","36","curling","281","36 years old"
"Where did B. J. Neufeld receive his most recent medal?","Lethbridge","curling","281","Lethbridge"
"When was the last time that B. J. Neufeld won any type of medal?","2022","curling","281","The last time B. J. Neufeld won a medal was in 2019 at the World Men's Curling Championship, where he won a silver medal representing Canada."
"How many years has B.J. Neufeld been associated with a member association?","15 years","curling","281","15 years"
"How many years ago did B. J. Neufeld was top ranked in CTRS?","8 Years ago","curling","281","The answer to the question ""How many years ago did B. J. Neufeld was top ranked in CTRS?"" is 7 years ago.According to the context, B. J. Neufeld's top CTRS ranking was in the 2014-15 season, which is 7 years ago from the current year (2022)."
"Which member association did B.J. Neufeld have when he won the Canadian Open?","Manitoba","curling","281","Manitoba"
"Which team did B. J. Neufeld was associated in 2019?","Alberta","curling","281","Team Manitoba"
"When was the first time that Dawn McEwen made an appearance at the World Championships?","2008","curling","288","2008"
"When was the first time that Dawn McEwen got a gold medal at the Scotties Tournament of Hearts?","2008","curling","288","The first time that Dawn McEwen got a gold medal at the Scotties Tournament of Hearts was in 2013, representing Manitoba."
"At what competition did Dawn McEwen get her most recent medal?","Scotties Tournament of Hearts","curling","288","2022 Players' Championship"
"How old was Dawn McEwen when she won the gold at the 2014 Sochi Olympics?","34 years old","curling","288","33 years old"
"What year did Dawn McEwen make her first Olympic appearance?","2014","curling","288","2014"
"What medal did Dawn McEwen win in 2008 World Championships in Vernon?","gold","curling","288","Gold medal - first place"
"How many years did Dawn McEwen played for  Ontario from 2003?","Four Years","curling","288","Dawn McEwen played for Ontario from 2003 to 2007, for a total of 4 years."
"How many times did Dawn McEwen was appeared in Olympic games from 2014?","Two Times (2014, 2022)","curling","288","2Dawn McEwen appeared in 2 Olympic games, in 2014 and 2022, representing Canada and Manitoba, respectively."
"How many gold medals won by Dawn McEwen in Scotties Tournament of Hearts representing Manitoba from 2008?","Five Gold Medals","curling","288","Dawn McEwen won 1 gold medal representing Manitoba in the Scotties Tournament of Hearts in 2020."
"Which country did Emma Miskew was represented in 2017 World Curling Championships?","Canada","curling","291","Canada"
"At what competition did Emma Kathryn Miskew most recently receive a medal?","Scotties Tournament of Hearts","curling","291","2021 Champions Cup"
"When did Emma Kathryn Miskew first win a medal in the World Curling Championships?","2013","curling","291","2017"
"What was the age when Emma Miskew was appeared in 2018 Olympic Games?","Age of 29","curling","291","33 years old"
"How many medals did Miskew the first year she had a number one CTRS ranking?","3","curling","291","Emma Miskew won 1 gold medal in her first year with a number one CTRS ranking, which was in 2013."
"How many years are between Miskew's gold medal at the Canada Winter Games and her gold medal at the Canadian Olympic Curling Trials?","10","curling","291","11 years"
"In what city did Miskew win a medal the year of her 30th birthday?","Sydney","curling","291","Ottawa"
"How old was Emma Kathryn Miskew when she made her first Hearts appearance?","22","curling","291","Emma Kathryn Miskew was 22 years old when she made her first Hearts appearance in 2011."
"How many gold medals won by Emma Miskew was represented for Ontario from 2007?","Four","curling","291","1Explanation:Emma Miskew won 1 gold medal representing Ontario at the 2007 Canada Winter Games."
"What year started Alexandra Boltasseva's longest streak for getting an award each year start?","2017","scientist","315","2011"
"When did Alexandra Boltasseva win her first award?","2008","scientist","315","2008"
"What year did Alexandra Boltasseva, win her first award?","2008.","scientist","315","Sure! Here's the answer to your question:2008"
"How old was Boltasseva when she won Young Elite-Researcher Award from the Danish Councils for Independent Research?","30","scientist","315","33 years old"
"How old was Alexandra Boltasseva when she won her first award?","30","scientist","315","The answer to the question is not explicitly stated in the provided context. However, based on the information provided, we can calculate Alexandra Boltasseva's age when she won her first award.According to the context, Alexandra Boltasseva was born on January 11, 1978, and she won her first award, the MIT Technology Review Top Young Innovator, in 2011. Therefore, her age when she won her first award would be:2011 - 1978 = 33 years oldSo, Alexandra Boltasseva was 33 years old when she won her first award."
"How many years were between Boltasseva's award for  Fellow of the Materials Research Society and Fellow of The Optical Society?","6","scientist","315","The answer is 4 years.The Optical Society fellowship was awarded to Alexandra Boltasseva in 2015, and the Materials Research Society fellowship was awarded to her in 2021, therefore the difference between the two awards is 4 years."
"In what year did Boltasseva win the most awards?","2013","scientist","315","Sure! Here's the answer to the question:2021"
"What year did Alexandra Blotasseva, gain the MIT Technology Review Top Young Innovator, award?","2011.","scientist","315","2011"
"What was the most recent award won by Alexandra Boltasseva?","Fellow of the Materials Research Society","scientist","315","2021 Fellow of the Materials Research Society"
"How many years after getting the 2001 Innovative Teaching Grant - Intel Corporation did Aude Gemma Billard get The Outstanding Young Person in Science and Innovation award?","2 years","scientist","321","Sure! Here's the answer to the question:The Outstanding Young Person in Science and Innovation award was given to Aude Gemma Billard in 2003, which is 2 years after she received the Innovative Teaching Grant - Intel Corporation in 2001."
"How many years are between Billard's award for The Outstanding Young Person in Science and Innovation and Innovative Teaching Grant?","2","scientist","321","The Outstanding Young Person in Science and Innovation was awarded to Aude Gemma Billard in 2003, and the Innovative Teaching Grant was awarded to her in 2001. Therefore, there is a difference of 2 years between the two awards."
"What award did Billard receive the same year she  was Nominated as Member of SATW?","Nominated for Outstanding Women in Academics SNSF","scientist","321","King-Sun Fu Best Transactions Paper Award"
"How many years ago did Aude Gemma Billard was got award for Fellowship Medicus Foundation?","23 Years ago (1999)","scientist","321","The Fellowship Medicus Foundation award was given to Aude Gemma Billard in 1999, which is 23 years ago as of 2022."
"What was the age when Aude Gemma Billard was received the award Member of SATW?","Age of 45","scientist","321","50-51 years old"
"What award did Aude Gemma Billard get when she was 44 years old?","King-Sun Fu Best Transactions Paper Award","scientist","321","The award that Aude Gemma Billard got when she was 44 years old was the King-Sun Fu Best Transactions Paper Award from the IEEE & Robotics and Automation Society in 2015."
"How old was Aude Gemma Billard when nominated as a member of SATW?","45 years","scientist","321","50-51 years old"
"How old was  Aude Billard when she was Nominated as Member of SATW?","45","scientist","321","50-51 years old"
"How many awards did Aude Gemma Billard  was received since 1990?","8 Awards","scientist","321","Since 1990, Aude Gemma Billard has received 7 awards:1. 2016: Nominated as Member of SATW, Swiss Academy of Engineering Sciences2. 2016: Nominated for Outstanding Women in Academics SNSF3. 2015: King-Sun Fu Best Transactions Paper Award, IEEE & Robotics and Automation Society4. 2003: The Outstanding Young Person in Science and Innovation, Junior Chamber of Commerce5. 2002: SNF Professeur Boursier, Career Award from Swiss National Science Foundation6. 2001: Innovative Teaching Grant - Intel Corporation7. 1999: Fellowship Medicus Foundation"
"How many years was Hulk Hogan active as a wrestler?","35","wrestling","339","Hulk Hogan was active as a wrestler for 35 years, from 1977 to 2012."
"How many years ago did Linda Hogan was debut his wrestling career?","45 years ago (1977)","wrestling","339","Hulk Hogan debuted his wrestling career 45 years ago, in 1977."
"What year did Hulk Hogan become an actor?","1982","wrestling","339","Sure! Here's the answer to the question:1982"
"How old was Hulk Hogan when he married Linda Hogan?","30 years old","wrestling","339","Hulk Hogan was 30 years old when he married Linda Hogan in 1983."
"Which is greater, the number of Hulk Hogan's divorces or nephews?","divorces","wrestling","339","The number of Hulk Hogan's nephews is greater than the number of his divorces. He has one nephew, Horace Hogan, and has been divorced twice."
"How many years was Hulk Hogan a wrestler when he started acting?","five","wrestling","339","Hulk Hogan was a wrestler for 35 years (1977-2012) when he started acting."
"From which year did Linda Hogan became the actor?","1982","wrestling","339","Linda Hogan became an actor in 1982."
"How many years did Hulk Hogan actively wrestle?","35 years","wrestling","339","Hulk Hogan actively wrestled for 35 years, from 1977 to 2012."
"Who was the other half of Hulk Hogan in 2000?","Linda Hogan","wrestling","339","The other half of Hulk Hogan in 2000 was Jennifer McDaniel."
"What was Jeffrey Epstein occupation?","financier","person","340","Financier"
"At what age did Jeffrey Epstein get work release?","55","person","340","55 years old"
"Approximately how long after being apprehended did Jeffrey Epstein die by suicide?","1 month","person","340","Approximately one month."
"How old did Jeffrey Epstein turn the year he was apprehended?","66","person","340","66 years old"
"How many months after being apprehended did Jeffrey Epstein commit suicide?","one","person","340","Jeffrey Epstein committed suicide 1 month after being apprehended."
"How many years after his first penalty was Jeffrey Epstein apprehended?","11 years","person","340","Jeffrey Epstein was apprehended 11 years after his first penalty in 2008."
"How old was Epstein when he was apprehended?","66","person","340","66 years old"
"How many days did Jeffrey Epstein alive after he was apprehended on uly 6, 2019?","35 days","person","340","Jeffrey Epstein died on August 10, 2019, which was 35 days after he was apprehended on July 6, 2019."
"How many days after Epstein was apprehended was the mugshot photo taken ?","3","person","340","The mugshot photo was taken 3 days after Epstein was apprehended, on July 9, 2019."
"What year was Jeffrey Epstein apprehended?","2019","person","340","Sure! Here's the answer to your question:2019"
"How long after his arrest did Epstein die?","1 month","person","340","Epstein died 24 days after his arrest."
"How old was Jeffrey Epstein when he was apprehended in 2019?","66 years old","person","340","66 years old"
"At what age was Jeffrey Epstein apprehended?","66","person","340","66 years old"
"How many days before his death was Jeffrey Edward Epstein apprehended?","35 days","person","340","July 6, 2019 (2 days before his death)"
"How did Jeffrey Epstein die?","hanging","person","340","Suicide by hanging"
"How old was Jeffrey Edward Epstein at the time of his 13 months penalty?","55 years","person","340","55 years old"
"How many days after Jeffrey Edward Epstein's apprehension was his final mugshot taken?","3 days","person","340","3 days"
"How old was Jeffrey Epstein was convicted in 2008?","55 Years","person","340","55 years old"
"What are the criminal charges against Jeffrey Epstein convicted in 2008?","Procuring an underage girl for prostitution; sex trafficking","person","340","Procuring an underage girl for prostitution and sex trafficking."
"What year was Jeffrey Epstein first convicted of sex trafficking?","2008","person","340","2008"
"Where was Jeffrey Epstein born?","New York City","person","340","New York City, New York, U.S."
"What was Nicki Minaj given birth name in 1982?","Onika Tanya Maraj","musician","347","Onika Tanya Maraj"
"How old was Nicki Minaj when she married Kenneth Petty in 2019?","37 years old","musician","347","37 years old"
"For how many years was Nicki Minaj with her second partner?","3","musician","347","Sure! Here's the answer to the question:Nicki Minaj was with her second partner, Meek Mill, for 2 years (2015-2017)."
"How long was Nicki Minaj with her first partner when she started performing?","4 years","musician","347","Nicki Minaj was with her first partner, Safaree Samuels, for 14 years (2000-2014) when she started performing."
"How many years has Nicki Minaj been active in her career?","18 years","musician","347","18 years"
"How old was Minaj when her career began?","22","musician","347","22 years old"
"How long after Minaj's career began did she marry Kenneth Petty?","15 years","musician","347","Nicki Minaj married Kenneth Petty in 2019, 15 years after her career began."
"How old was Nicki Minaj when she ended her partnership with Safaree Samuels?","32","musician","347","32 years old"
"How many years between Nicki Minaj's relationship between Safaree Samuels and Meek Mill?","One year.","musician","347","The answer to the question is 4 years. Nicki Minaj's relationship with Safaree Samuels ended in 2014, and her relationship with Meek Mill started in 2015 and ended in 2017."
"How old was Nicki Minaj when she got married?","36","musician","347","37 years old"
"When did Nicki Minaj break up with her first partner?","2014","musician","347","Nicki Minaj broke up with her first partner, Safaree Samuels, in 2014."
"How much longer did Minaj's relationship with Safaree Samuels last than with Meek Mill?","12 years","musician","347","Minaj's relationship with Safaree Samuels lasted 14 years (2000-2014), while her relationship with Meek Mill lasted 2 years (2015-2017). Therefore, Minaj's relationship with Safaree Samuels lasted 12 years longer than her relationship with Meek Mill."
"How many years was Paul Gauguin married to Teha'amana?","2","painter","349","2 years"
"What age did Paul Gauguin die at?","54","painter","349","54 years old"
"How many times was Paul Gauguin married?","2","painter","349","Twice"
"How many years ago did Paul Gauguin die?","119","painter","349","119 years ago"
"At what age Paul Gauguin married Mette-Sophie Gad?","25","painter","349","25 years old"
"At what age Paul Gauguin seperated Mette-Sophie Gad?","46","painter","349","46 years old"
"At what age Paul Gauguin seperated Teha'amana?","45","painter","349","33 years old"
"To whom was Paul Gauguin’s longest marriage?","Mette-Sophie Gad","painter","349","Mette-Sophie Gad"
"How many years was Paul Gauguin married to Mette-Sophie Gad?","21","painter","349","21 years"
"What is the Notable work by Pierre Auguste Cot in 1873?","Springtime","painter","350","Springtime"
"How old was Pierre Auguste Cot when he died?","46","painter","350","46 years old"
"When did Pierre Auguste Cot write The Storm?","He wrote the storm in 1880.","painter","350","1880"
"How old was Pierre Auguste Cot at his death?","46","painter","350","46 years old"
"When did Pierre Auguste Cot write Springtime?","He wrote springtime in 1873.","painter","350","1873"
"How old was Pierre Auguste Cot when he painted The Storm?","43","painter","350","43 years old"
"In what year was Pierre Auguste Cot born?","1837","painter","350","1837"
"What is the date of birth of Pierre Auguste Cot?","17 February 1837","painter","350","February 17, 1837"
"When was Pierre Auguste Cot born?","Pierre Auguste Cot was born on February 17, 1873.","painter","350","1837"
"At what age did Pierre Auguste Cot finish The Storm?","43","painter","350","43 years old"
"What painting did Pierre Auguste Cot finish three years before his death?","The Storm","painter","350","The Storm"
"What painting did Pierre Auguste Cot finish at the age of 36?","Springtime","painter","350","Springtime"
"At what age Stephen Hawking married Jane Wilde?","23","nobel","352","Stephen Hawking married Jane Wilde in 1965, when he was 23 years old."
"At what age Stephen Hawking divorced Jane Wilde?","53","nobel","352","Stephen Hawking divorced Jane Wilde in 1995, when he was 53 years old."
"At what age Stephen Hawking married Elaine Mason?","53","nobel","352","Stephen Hawking married Elaine Mason in 1995, when he was 53 years old."
"How old was Stephen Hawking when he wrote his Thesis in 1966?","24 years old","nobel","352","24 years old"
"How many years ago did Stephen Hawking was died?","4 Year ago","nobel","352","Stephen Hawking died 4 years ago in 2018."
"How many awards won by Stephen Hawking in 1976?","Three","nobel","352","Stephen Hawking won 4 awards in 1976:1. Maxwell Medal and Prize2. Heineman Prize3. Hughes Medal4. Albert Einstein Award"
"What medal did Stephen Hawking win in 1966?","Adams Prize","nobel","352","The medal that Stephen Hawking won in 1966 was the Adams Prize."
"What year did Stephen Hawking win the Presidential Medal of Freedom?","2009","nobel","352","2009"
"How old was Stephen Hawking when he married his first wife in 1965?","23 years old","nobel","352","23 years old"
"How many years before Stephen Hawking died did he win the Copley Medal?","12","nobel","352","Stephen Hawking won the Copley Medal in 2006, 12 years before his death in 2018."
"At what age did Stephen Hawking divorce his first wife?","53","nobel","352","Stephen Hawking divorced his first wife, Jane Wilde, in 1995, when he was 53 years old."
"How many years did Stephen Hawking and Jane Wilde was married relatioship?","30 years","nobel","352","Stephen Hawking and Jane Wilde were married for 30 years, from 1965 to 1995."
"How many years ago did Stephen Hawking released the Properties of Expanding Universes?","56 Years ago","nobel","352","It has been 57 years since Stephen Hawking released the Properties of Expanding Universes."
"What was Stephen Hawking's Thesis title he wrote in 1966?","Properties of Expanding Universes","nobel","352","Properties of Expanding Universes"
"How old was Stephen Hawking when he was awarded the BBVA Foundation Frontiers of Knowledge Award in 2015?","73 years old","nobel","352","73 years old"
"At what age did Stephen Hawking win the Hughs Medal?","34","nobel","352","Stephen Hawking won the Hughes Medal in 1976, at the age of 34."
"How old was Stephen Hawking when he died?","76","nobel","352","76 years old"
"How many Albert Einstein Award won by Stephen Hawking from 1966-2015?","Two","nobel","352","Stephen Hawking won the Albert Einstein Award twice: in 1978 and 1979."
"At what age did Steve Jobs become active in his career?","21","person","353","Steve Jobs became active in his career in 1976, at the age of 21."
"How many years after becoming active did Steve Jobs get married?","15","person","353","Steve Jobs got married to Laurene Powell in 1991, 15 years after he became active in 1976."
"How many children's Steven Paul jobs have?","4","person","353","Four.Here's the list of Steve Jobs' children:1. Lisa Brennan-Jobs (born in 1978) - daughter with Chrisann Brennan2. Reed Jobs (born in 1991) - son with Laurene Powell3. Erin Siena Jobs (born in 1995) - daughter with Laurene Powell4. Eve Jobs (born in 1998) - daughter with Laurene Powell"
"Chrisann Brennan and Steven Paul jobs are Partner for how long?","5","person","353","Sure! Here's the answer to the question:1977"
"How many years ago did Steve Jobs was died?","11 years ago","person","353","11 years ago"
"What is the age of Steve Jobs when married Laurene Powell​?","Age of 36","person","353","Steve Jobs was 36 years old when he married Laurene Powell in 1991."
"How many years ago did Steve Jobs presenting the iPhone 4?","12 Years ago","person","353","12 years ago"
"At what age did Steve Jobs marry his spouse?","36","person","353","Steve Jobs married his spouse, Laurene Powell, in 1991."
"Steven Paul Jobs at what age marry Laurene Powell?","36","person","353","Steve Jobs married Laurene Powell in 1991, when he was 36 years old."
"At what age did Steve Jobs end his partnership with Chrisann Brennan?","22","person","353","Steve Jobs ended his partnership with Chrisann Brennan in 1977, when he was 22 years old."
"How many years was Steve Jobs active in his career?","35 years","person","353","Steve Jobs was active in his career for 35 years (1976-2011)."
"Steven Paul Jobs at what age marry Laurene Powell?","36","person","353","Steve Jobs married Laurene Powell in 1991, when he was 36 years old."
"How many years Steven Paul Jobs and Chrisann Brennan are partners?","5","person","353","Steve Jobs and Chrisann Brennan were partners for 5 years (1972-1977)."
"Steven Paul Jobs have been board member of how many companies?","2","person","353","2The Walt Disney CompanyApple Inc."
"How many years after first becoming active did Steve Jobs get married?","15","person","353","Steve Jobs got married to Laurene Powell in 1991, 15 years after he first became active in 1976."
"How many years was Steve Jobs in a relationship with his partner Chrisann Brennan?","5 years","person","353","Steve Jobs was in a relationship with Chrisann Brennan for 5 years (1972-1977)."
"How old was Steve Jobs when he married Laurene Powell in 1991​?","36 years old","person","353","36 years old"
"At what age did Steve Jobs first have a partner?","17","person","353","Steve Jobs had a partner, Chrisann Brennan, from 1972 to 1977, when he was in his early 20s."
"What is the year of his notable work ""The Gross Clinic""?","1875","painter","356","1875"
"How old was Thomas Eakins when he died?","71","painter","356","71 years old"
"What was the name of the painting that Thomas Eakins painted in 1908?","William Rush and His Model","painter","356","William Rush and His Model"
"What year did Thomas Eakins paint The Gross Clinic?","1875","painter","356","1875"
"How old was Thomas Eakins when he painted Max Schmitt in a Single Scull?","27 years old","painter","356","37 years old"
"At what age his work The Agnew Clinic Clinic came?","45","painter","356","The Agnew Clinic was created by Thomas Eakins in 1889, when he was 45 years old."
"At what age Thomas Eakins die?","71","painter","356","71 years old"
"Where was Thomas Eakins born in 1844?","Philadelphia, Pennsylvania, United States","painter","356","Philadelphia, Pennsylvania, United States"
"At what age his work The Gross Clinic came?","31","painter","356","The Gross Clinic was created by Thomas Eakins in 1875, when he was 31 years old."
"What was the first award that Alimuddin Zumla won?","Weber-Parkes Trust Medal","scientist","364","The first award that Alimuddin Zumla won was the Albert Chalmers Medal in 2000."
"How many awards has Alimuddin Zumla won in the last ten years?","6","scientist","364","Alimuddin Zumla has won 8 awards in the last ten years (2011-2021)."
"How old was Alimuddin Zumla when he won the 2021 EU-EDCTP Pascoal Mocumbi Prize?","66 years old","scientist","364","67 years old"
"How old was Alimuddin Zumla when he won the 1999  Weber-Parkes Trust Medal?","45 years old","scientist","364","44 years old"
"What year did Alimuddin Zumla win the Union Medal?","2018","scientist","364","Sure! Here's the answer to the question:The year Alimuddin Zumla won the Union Medal was 2018."
"What was the name of the most recent award that Alimuddin Zumla received?","EU-EDCTP Pascoal Mocumbi Prize","scientist","364","EU-EDCTP Pascoal Mocumbi Prize (2021)"
"How old was Zumla when he won the Mahathir Science Award?","65","scientist","364","67 years old"
"How long after Zumla wrote his thesis did he win the  Weber-Parkes Trust Medal?","12 years","scientist","364","The answer to the question is 2 years.According to the information provided, Alimuddin Zumla won the Weber-Parkes Trust Medal in 1999, and his thesis was published in 1987. Therefore, the difference between the two dates is 2 years."
"How many years are between when Zumla won the EU-EDCTP Pascoal Mocumbi Prize and the Karolinska Institutet Science Award?","9","scientist","364","The answer is 11 years. The EU-EDCTP Pascoal Mocumbi Prize was awarded to Zumla in 2021, and the Karolinska Institutet Science Award was awarded to him in 2012."
"How many awards did he win?","4","nobel","369","Four awards:1. Davy Medal (1881)2. Liebig Medal (1903)3. Nobel Prize for Chemistry (1905)4. Elliott Cresson Medal (1912)"
"Who did Adolf von Baeyer marry in 1868?","Adelheid Bendemann","nobel","369","Adelheid Bendemann"
"What award did Adolf von Baeyer receive in 1903?","Liebig Medal","nobel","369","Liebig Medal"
"How old was Adolf von Baeyer when he won the Nobel Prize for Chemistry?","70 years old","nobel","369","Adolf von Baeyer was 70 years old when he won the Nobel Prize for Chemistry in 1905."
"At what age Adolf von Baeyer married Adelheid Bendemann?","32","nobel","369","Adolf von Baeyer married Adelheid Bendemann in 1868, when he was 33 years old."
"At what age does Adolf von Baeyer receive Nobel Prize?","69","nobel","369","Adolf von Baeyer received the Nobel Prize in Chemistry in 1905 at the age of 70."
"how many children's Adolf von Baeyer have?","3","nobel","369","Three, including Otto."
"How old was he when he won the Nobel?","70","nobel","369","Adolf von Baeyer was 70 years old when he won the Nobel Prize in Chemistry in 1905."
"How old was he when he got married?","33","nobel","369","33 years old"
"How old was Adolf von Baeyer when he got married?","33 years old","nobel","369","33 years old"
"How many years before his death did Adolf von Baeyer win the Nobel Prize in Chemistry?","12 years","nobel","369","Adolf von Baeyer won the Nobel Prize in Chemistry in 1905, 12 years before his death in 1917."
"How long had Adolf von Baeyer been married when he won the Davy Medal?","13 years","nobel","369","Adolf von Baeyer had been married to Adelheid Bendemann for 23 years when he won the Davy Medal in 1881."
"At what age Adolf von Baeyer married Adelheid Bendemann?","32","nobel","369","Adolf von Baeyer married Adelheid Bendemann in 1868, when he was 33 years old."
