question,answer,table_id,answer_type,is_temporal,answer_old,answer_timeunit
How many years was Paul Gauguin married to Mette-Sophie Gad?,21,349,COUNT,Is temporal,21,year
How old was Pierre Auguste Cot when he died?,46,350,AGE,Is temporal,46,year
When did Pierre Auguste Cot write The Storm?,He wrote the storm in 1880.,350,TEMPORAL,Is temporal,He wrote the storm in 1880.,not defined
How old was Pierre Auguste Cot at his death?,46,350,AGE,Is temporal,46,year
When did Pierre Auguste Cot write Springtime?,He wrote springtime in 1873.,350,TEMPORAL,Is temporal,He wrote springtime in 1873.,not defined
How old was Pierre Auguste Cot when he painted The Storm?,43,350,AGE,Is temporal,43,year
In what year was Pierre Auguste Cot born?,1837,350,TEMPORAL,Is temporal,1837,year
What is the date of birth of Pierre Auguste Cot?,17 February 1837,350,TEMPORAL,Is temporal,17 February 1837,not defined
When was Pierre Auguste Cot born?,"Pierre Auguste Cot was born on February 17, 1873.",350,TEMPORAL,Is temporal,"Pierre Auguste Cot was born on February 17, 1873.",not defined
At what age did Pierre Auguste Cot finish The Storm?,43,350,AGE,Is temporal,43,year
At what age Stephen Hawking married Jane Wilde?,23,352,AGE,Is temporal,23,year
At what age Stephen Hawking divorced Jane Wilde?,53,352,AGE,Is temporal,53,year
At what age Stephen Hawking married Elaine Mason?,53,352,AGE,Is temporal,53,year
How old was Stephen Hawking when he wrote his Thesis in 1966?,24 years old,352,TEMPORAL,Is temporal,24 years old,year
How many years ago did Stephen Hawking was died?,4 Year ago,352,TEMPORAL,Is temporal,4 Year ago,year
What year did Stephen Hawking win the Presidential Medal of Freedom?,2009,352,TEMPORAL,Is temporal,2009,year
How old was Stephen Hawking when he married his first wife in 1965?,23 years old,352,TEMPORAL,Is temporal,23 years old,year
How many years before Stephen Hawking died did he win the Copley Medal?,12,352,COUNT,Is temporal,12,year
At what age did Stephen Hawking divorce his first wife?,53,352,AGE,Is temporal,53,year
How many years did Stephen Hawking and Jane Wilde was married relatioship?,30 years,352,TEMPORAL,Is temporal,30 years,year
How many years ago did Stephen Hawking released the Properties of Expanding Universes?,56 Years ago,352,TEMPORAL,Is temporal,56 Years ago,year
How old was Stephen Hawking when he was awarded the BBVA Foundation Frontiers of Knowledge Award in 2015?,73 years old,352,TEMPORAL,Is temporal,73 years old,year
At what age did Stephen Hawking win the Hughs Medal?,34,352,AGE,Is temporal,34,year
How old was Stephen Hawking when he died?,76,352,AGE,Is temporal,76,year
At what age did Steve Jobs become active in his career?,21,353,AGE,Is temporal,21,year
How many years after becoming active did Steve Jobs get married?,15,353,COUNT,Is temporal,15,year
Chrisann Brennan and Steven Paul jobs are Partner for how long?,5,353,UNKNOWN,Is temporal,5,not defined
How many years ago did Steve Jobs was died?,11 years ago,353,TEMPORAL,Is temporal,11 years ago,year
What is the age of Steve Jobs when married Laurene Powell​?,Age of 36,353,AGE,Is temporal,Age of 36,year
How many years ago did Steve Jobs presenting the iPhone 4?,12 Years ago,353,TEMPORAL,Is temporal,12 Years ago,year
At what age did Steve Jobs marry his spouse?,36,353,AGE,Is temporal,36,year
Steven Paul Jobs at what age marry Laurene Powell?,36,353,UNKNOWN,Is temporal,36,not defined
At what age did Steve Jobs end his partnership with Chrisann Brennan?,22,353,AGE,Is temporal,22,year
How many years was Steve Jobs active in his career?,35 years,353,TEMPORAL,Is temporal,35 years,year
How many years Steven Paul Jobs and Chrisann Brennan are partners?,5,353,COUNT,Is temporal,5,year
How many years after first becoming active did Steve Jobs get married?,15,353,COUNT,Is temporal,15,year
How many years was Steve Jobs in a relationship with his partner Chrisann Brennan?,5 years,353,TEMPORAL,Is temporal,5 years,year
How old was Steve Jobs when he married Laurene Powell in 1991​?,36 years old,353,TEMPORAL,Is temporal,36 years old,year
At what age did Steve Jobs first have a partner?,17,353,AGE,Is temporal,17,year
"What is the year of his notable work ""The Gross Clinic""?",1875,356,TEMPORAL,Is temporal,1875,not defined
How old was Thomas Eakins when he died?,71,356,AGE,Is temporal,71,year
What year did Thomas Eakins paint The Gross Clinic?,1875,356,TEMPORAL,Is temporal,1875,year
How old was Thomas Eakins when he painted Max Schmitt in a Single Scull?,27 years old,356,TEMPORAL,Is temporal,27 years old,year
At what age his work The Agnew Clinic Clinic came?,45,356,AGE,Is temporal,45,year
At what age Thomas Eakins die?,71,356,AGE,Is temporal,71,year
At what age his work The Gross Clinic came?,31,356,AGE,Is temporal,31,year
How old was Alimuddin Zumla when he won the 2021 EU-EDCTP Pascoal Mocumbi Prize?,66 years old,364,TEMPORAL,Is temporal,66 years old,year
How old was Alimuddin Zumla when he won the 1999  Weber-Parkes Trust Medal?,45 years old,364,TEMPORAL,Is temporal,45 years old,year
What year did Alimuddin Zumla win the Union Medal?,2018,364,TEMPORAL,Is temporal,2018,year
How old was Zumla when he won the Mahathir Science Award?,65,364,AGE,Is temporal,65,year
How long after Zumla wrote his thesis did he win the  Weber-Parkes Trust Medal?,12 years,364,TEMPORAL,Is temporal,12 years,year
How many years are between when Zumla won the EU-EDCTP Pascoal Mocumbi Prize and the Karolinska Institutet Science Award?,9,364,COUNT,Is temporal,9,year
How old was Adolf von Baeyer when he won the Nobel Prize for Chemistry?,70 years old,369,TEMPORAL,Is temporal,70 years old,year
At what age Adolf von Baeyer married Adelheid Bendemann?,32,369,AGE,Is temporal,32,year
At what age does Adolf von Baeyer receive Nobel Prize?,69,369,AGE,Is temporal,69,year
How old was he when he won the Nobel?,70,369,AGE,Is temporal,70,year
How old was he when he got married?,33,369,AGE,Is temporal,33,year
How old was Adolf von Baeyer when he got married?,33 years old,369,TEMPORAL,Is temporal,33 years old,year
How many years before his death did Adolf von Baeyer win the Nobel Prize in Chemistry?,12 years,369,TEMPORAL,Is temporal,12 years,year
How long had Adolf von Baeyer been married when he won the Davy Medal?,13 years,369,TEMPORAL,Is temporal,13 years,year
At what age does Adolf von Baeyer received Nobel Prize?,69,369,AGE,Is temporal,69,year
How many years before Johann Friedrich Wilhelm Adolf Baeyer's death did he win the Nobel Prize for Chemistry?,12,369,COUNT,Is temporal,12,year
At what age did Johann Friedrich Wilhelm Adolf Baeyer win the Davy Medal?,51,369,AGE,Is temporal,51,year
How many years after marrying his spouse did Johann Friedrich Wilhelm Adolf Baeyer win the Liebig Medal?,35,369,COUNT,Is temporal,35,year
At what age Albert A. Michelson married his first wife Margaret Hemingway?,24,370,AGE,Is temporal,24,year
When did Albert A. Michelson marry Edna Stanton?,1899,370,TEMPORAL,Is temporal,1899,not defined
How old was he when he won the Nobel Prize?,55,370,AGE,Is temporal,55,year
At what age Albert A. Michelson die?,78,370,AGE,Is temporal,78,year
How many years after his divorce did Albert A. Michelson get remarried?,1 year,370,TEMPORAL,Is temporal,1 year,year
At what age Albert A. Michelson married his second wife Edna Stanton?,46,370,AGE,Is temporal,46,year
How old was Albert A. Michelson when he got married for the first time?,25 years old,370,TEMPORAL,Is temporal,25 years old,year
How many years between his first award and last award?,26,370,COUNT,Is temporal,26,year
What year did Art Wilson play for the Cleveland Indians?,1921,400,TEMPORAL,Is temporal,1921,year
How old was Art Wilson when he made his MLB debut in 1908?,23 years old,400,TEMPORAL,Is temporal,23 years old,year
How much longer did Wilson play for the New York Giants than the Boston Braves?,3 years,400,TEMPORAL,Is temporal,3 years,year
How long after his last MLB appearance did Wilson die?,39 years,400,TEMPORAL,Is temporal,39 years,year
How many years did Art Wilson play for MLB?,13 years,400,TEMPORAL,Is temporal,13 years,year
How many years after his MLB debut did Art Wilson play for the Pittsburgh Pirates?,8,400,COUNT,Is temporal,8,year
What was Art Wilson's last year playing in the Major League?,1921,400,UNKNOWN,Is temporal,1921,not defined
How many years did Babe Young play for MLB?,12 years,401,TEMPORAL,Is temporal,12 years,year
How old was Young when he made his MLB debut?,21,401,AGE,Is temporal,21,year
How many years longer did Young play for the New York Giants the second time than for the Cincinnati Reds?,2,401,COUNT,Is temporal,2,year
How many years after his final MLB appearance did Young die?,35,401,COUNT,Is temporal,35,year
What year did Babe Young make his MBL debut?,1936,401,TEMPORAL,Is temporal,1936,year
How old was Babe Young when he began his career with MLB?,21 years old,401,TEMPORAL,Is temporal,21 years old,year
How many years did Babe Young was played for Cincinnati Reds?,2 Years,401,TEMPORAL,Is temporal,2 Years,year
What was the age of Babe Young When he played MLB debut?,Age of 21,401,AGE,Is temporal,Age of 21,year
How long after McCoy made his last MLB appearance did he die?,70 years,405,TEMPORAL,Is temporal,70 years,year
How long after making his MLB debut did McCoy play for the Philadelphia Athletics?,2 years,405,TEMPORAL,Is temporal,2 years,year
How old was McCoy when he made his MLB debut?,23,405,AGE,Is temporal,23,year
For how many years did Benny McCoy play professional baseball?,3,405,COUNT,Is temporal,3,year
How many total years did Benny McCoy for MLB?,3 years,405,TEMPORAL,Is temporal,3 years,year
When was the last season that Benny McCoy played professionally?,1941,405,TEMPORAL,Is temporal,1941,year
How old was Benny McCoy when he made his MLB debut?,23 years old,405,TEMPORAL,Is temporal,23 years old,year
How may years did Benny McCoy play for the Detroit Tigers?,1 year,405,TEMPORAL,Is temporal,1 year,year
How many years ago did Current constitution was established in Brazil?,34 Years ago (1988),424,TEMPORAL,Is temporal,34 Years ago (1988),not defined
How many years ago did Brazil was declared as republic?,133 years ago (1889),424,TEMPORAL,Is temporal,133 years ago (1889),not defined
How many years were between the end of the reign of the last monarch and when Denmark-Norway was established?,14,430,COUNT,Is temporal,14,year
How long did the Kalmar Union last?,140 years,430,TEMPORAL,Is temporal,140 years,year
How many years did the last monarch of the Kalmar Union rule?,10 years,430,TEMPORAL,Is temporal,10 years,year
How long after the inception of The Kalmar Union did the reign of Eric of Pomerania end?,35 years,430,TEMPORAL,Is temporal,35 years,year
How many years long was in the last reign of the Kalmar Union?,10,430,COUNT,Is temporal,10,year
How many years was José Manuel de Herrera the Prime Minister of Mexican Empire?,1 year,433,TEMPORAL,Is temporal,1 year,year
How many months after the Plan of Iguala did the Independence of Mexico happen?,7,433,COUNT,Is temporal,seven,not defined
How many years did the Mexican Empire last?,2 years,433,TEMPORAL,Is temporal,2 years,year
How long after the Plan of Iguala was the Independence of Mexico?,7 months,433,TEMPORAL,Is temporal,7 months,not defined
How many years was José Manuel de Herrera Prime Minister of the Mexican Empire?,1 year,433,TEMPORAL,Is temporal,1 year,year
How many years prior to Agustin I's rule was the Plan of Iguala?,1 year,433,TEMPORAL,Is temporal,1 year,year
How long after the French occupation of Algeria was its independence?,132 years,436,TEMPORAL,Is temporal,132 years,year
How many years longer was the time between  Hammadid dynasty and the Zayyanid dynasty and the Rustamid dynasty and the Zirid dynasty?,25,436,COUNT,Is temporal,25,year
How many days after the Belarusian People's Republic formation did Belarus gain Independence from Russia?,17 Days,438,TEMPORAL,Is temporal,17 Days,not defined
How long has Belarus been under it's current Constitution?,28 years,438,TEMPORAL,Is temporal,28 years,year
How many years were there between Independence from Russia and Independence from the USSR?,73 years,438,TEMPORAL,Is temporal,73 years,year
How much time elapsed between when Mars Express was inserted and when Beagle 2 landed?,6 minutes,452,TEMPORAL,Is temporal,6 minutes,not defined
How many days does Mars Express travelled in space to reach mars?,206 days travelled,452,TEMPORAL,Is temporal,206 days travelled,not defined
How many years ago did Mars Express did Orbital insertion?,9 Years ago,452,TEMPORAL,Is temporal,9 Years ago,year
How many month left the Mars Express mission duration?,7 month left,452,TEMPORAL,Is temporal,7 month left,not defined
How many days did it take for Mars Express to reach Mars?,5 months 25 days,452,TEMPORAL,Is temporal,5 months 25 days,not defined
"If Mars Express begins its orbit at 10:00 am, what time will it reach the same point?",5:30 pm,452,TEMPORAL,Is temporal,5:30 pm,not defined
"Rounding up, what was the difference in planned and elapsed time of the Orbiter Mission duration?",4 years.,457,TEMPORAL,Is temporal,4 years.,year
How many days Chandrayaan-2 was landed in moon after launch?,46 days,457,TEMPORAL,Is temporal,46 days,not defined
How many days Chandrayaan-2 was Orbital insertion held after launch?,29 days,457,TEMPORAL,Is temporal,29 days,not defined
How many years ago did Chandrayaan-2 was launched?,3 Years ago (2019),457,TEMPORAL,Is temporal,3 Years ago (2019),not defined
What was the difference between planned and elapsed time of Vikramlander mission duration?,14 days,457,TEMPORAL,Is temporal,14 days,not defined
How many years longer is the orbiter's planned mission duration than it's current elapsed duration?,5,457,COUNT,Is temporal,5,year
How long after the launch date was the moon lander's landing date?,2 months,457,TEMPORAL,Is temporal,2 months,not defined
Around what year would Chandrayaan-2's orbiters planned mission duration end according to the launch date?,2027,457,TEMPORAL,Is temporal,2027,year
How many days did the Chandrayaan-2 passed between launch date and landing date?,46 Days,457,TEMPORAL,Is temporal,46 Days,not defined
When did the Black Dog Halt first become known by that name?,8 June 1953,464,TEMPORAL,Is temporal,8 June 1953,not defined
When did the Black Dog Halt fall into disuse?,20 September 1965,464,UNKNOWN,Is temporal,20 September 1965,not defined
For how many years did Black Dog Siding operate under its original name?,90,464,COUNT,Is temporal,90,year
How long did Black Dog Siding remain open?,102 years,464,TEMPORAL,Is temporal,102 years,year
When did the Black Dog Halt first operated?,3 November 1863,464,TEMPORAL,Is temporal,3 November 1863,not defined
On what date was the second opening of the Cheltenham Spa station?,7 July 1919,465,TEMPORAL,Is temporal,7 July 1919,not defined
When was the first opening of the Cheltenham Spa station?,30 March 1908,465,TEMPORAL,Is temporal,30 March 1908,not defined
How many year before the station closed for the last time was the picture taken?,7,465,COUNT,Is temporal,7,not defined
How long after originally opening as  Cheltenham Malvern Road was it renamed Cheltenham Spa Malvern Road?,17 years,465,TEMPORAL,Is temporal,17 years,year
How many years did Cheltenham Spa station was working from re-opened in 1919?,47 Years,465,TEMPORAL,Is temporal,47 Years,year
How many years ago did Cheltenham Spa station was opened in  Malvern Road?,114 years ago,465,TEMPORAL,Is temporal,114 years ago,year
How many years was the Cheltenham Spa station open before it closed for the first time?,9 years,465,TEMPORAL,Is temporal,9 years,year
When did AC/DC debut?,1973,468,TEMPORAL,Is temporal,1973,not defined
How long has the band AC/DC been active in the music scene?,49 years,468,TEMPORAL,Is temporal,49 years,year
How many years has AC/DC been a band?,39,468,COUNT,Is temporal,39,year
When was  AC/DC formed?,1973,468,TEMPORAL,Is temporal,1973,not defined
How many years has AC/DC been performing?,49 years,468,TEMPORAL,Is temporal,49 years,year
What year was Percy Faith born?,1908,472,TEMPORAL,Is temporal,1908,year
What year did Percy Faith die?,1976,472,TEMPORAL,Is temporal,1976,year
How old was Percy Faith when he died?,67,472,AGE,Is temporal,67,year
If Percy Faith had died three month later in 1976 how old would he have been?,68 years old,472,TEMPORAL,Is temporal,68 years old,year
While at work in 1949 how old was Faith?,41 years old,472,TEMPORAL,Is temporal,41 years old,year
What year would Percy Faith have to have died to have lived to be 100 years old?,2008,472,TEMPORAL,Is temporal,2008,year
How long ago did Faith die?,46,472,UNKNOWN,Is temporal,46,not defined
How old was  Owen when he began is senior career?,17,479,AGE,Is temporal,17,year
How old was Michael Owen the year he went to Real Madrid?,25,479,AGE,Is temporal,25,year
How many years were there between when Owen began to play for Real Madrid and stopped playing for Manchester United?,8,479,COUNT,Is temporal,8,year
How many more years did Owen play for Liverpool than Newcastle United?,4,479,COUNT,Is temporal,4,not defined
How long did Michael Owen senior career last?,17 years,479,TEMPORAL,Is temporal,17 years,year
How old was Draško Nenadić when he started playing for the national team?,22,492,AGE,Is temporal,22,year
For how many years did Draško Nenadić play with his first team?,3,492,COUNT,Is temporal,3,year
When was the first time that Emilie Hegh Arntzen won a medal in the European Championships?,2014,493,TEMPORAL,Is temporal,2014,year
When was the last time that Emilie Hegh Arntzen has won a medal in any competition?,2021,493,TEMPORAL,Is temporal,2021,year
How many years are between Arntzen's gold medal at the Croatia/Hungary	European Championship and her gold medal at the Spain World Championship?,7,493,COUNT,Is temporal,7,year
How old was Arntzen when she began to play for her first senior club?,16,493,AGE,Is temporal,16,year
When was the last time that  Emilie Hegh Arntzen received a medal in the World Championships?,2020,493,TEMPORAL,Is temporal,2020,year
In what year did  Emilie Hegh Arntzen receive their last medal?,2021,493,TEMPORAL,Is temporal,2021,year
How many years did Emilie Hegh Arntzen was played for Byåsen HE from 2014?,3 Years,493,TEMPORAL,Is temporal,3 Years,year
How old was Arntzen when she began playing for CSM București?,27,493,AGE,Is temporal,27,year
How many years separate Arntzen's most recent gold medal and her earliest gold medal?,7,493,COUNT,Is temporal,7,year
How many years longer did Hasanefendić manage Switzerland than VfL Gummersbach?,3,503,COUNT,Is temporal,3,year
What was the age when Sead Hasanefendić was worked as manager for GWD Minden in 2013?,Age of 65,503,AGE,Is temporal,Age of 65,year
How many years did Sead Hasanefendić was worked as manager for Switzerland team from 1980?,6 Years,503,TEMPORAL,Is temporal,6 Years,year
How old was Hasanefendić when he managed his first team?,31,503,AGE,Is temporal,31,year
How longer after Hasanefendić stop managing RK Metaloplastika did he begin managing his current team?,38 years,503,TEMPORAL,Is temporal,38 years,year
How many years did Žarko Marković was played for Montenegro?,6 years (2006-2012),504,TEMPORAL,Is temporal,Six years (2006-2012),not defined
How many years did Žarko Marković play for Montegengro?,6,504,COUNT,Is temporal,6,year
For how many years did Žarko Marković play for Montenegro?,7,504,COUNT,Is temporal,7,year
Which year did Novak Djokovic won the hat-tricks title of Australian Open?,2011-2013 and 2019-2021,509,TEMPORAL,Is temporal,2011-2013 and 2019-2021,not defined
What year did Novak Djokovic win his first U.S. Open?,2011,509,TEMPORAL,Is temporal,2011,year
How old was Novak Djokovic when he competed in the Olympic Games?,21 years old,509,TEMPORAL,Is temporal,21 years old,year
For how many years did Roger Federer  play professionally before achieving his highest ranking?,6,512,COUNT,Is temporal,6,year
How many years after turning pro did Roger Federer win a silver Olympic medal?,14,512,COUNT,Is temporal,14,year
How old was Roger Federer when he go his first Olympic gold medal?,27 years,512,TEMPORAL,Is temporal,27 years,year
How many years after getting the Olympic gold medal did Roger Federer get his Olympic silver medal?,4 years,512,TEMPORAL,Is temporal,4 years,year
At what age did Roger Federer get his highest ranking?,23 years,512,TEMPORAL,Is temporal,23 years,year
How many years were between Franchitti's first race in his  IndyCar Series career and his first race in his Champ Car career?,5,516,COUNT,Is temporal,5,year
What was age when Dario Franchitti won BRDC Gold Star in 2009?,Age of 36,516,AGE,Is temporal,Age of 36,year
How much longer was Franchitti's IndyCar Series career than his NASCAR Camping World Truck Series career?,9 years,516,TEMPORAL,Is temporal,9 years,year
How many years had Dario Franchitti been retired from IndyCar when he was elected to the Motorsports Hall of Fame?,7 years,516,TEMPORAL,Is temporal,7 years,year
How many years did Davy Jones compete in the Le Mans division?,4,517,COUNT,Is temporal,four,year
When was the last year that Davy Jones competed in the Le Mans division?,1996,517,TEMPORAL,Is temporal,1996,year
How many years did Davy Jones race the 24 Hours of Le Mans career?,4 years,517,TEMPORAL,Is temporal,4 years,year
What is the number of years that Davy Jones competed in the 24 Hours of Le Mans race?,5,517,COUNT,Is temporal,5,not defined
In what year would Davy Jones have been 30?,1994,517,TEMPORAL,Is temporal,1994,year
What year did Davy Jones run his first Daytona 500 race?,1995,517,TEMPORAL,Is temporal,1995,year
How old was Davy Jones when he made his first Daytona 500 apperance?,31 years old,517,TEMPORAL,Is temporal,31 years old,year
How many years after his debut in his Stadium Super Trucks career did Gordon win a silver medal at the Summer X Games?,2,518,COUNT,Is temporal,2,year
What was age when Robby Gordon first race in NASCAR Cup Series career?,Age of 22 (1991),518,AGE,Is temporal,Age of 22 (1991),not defined
How many years ago did Robby Gordon won Stadium Super Trucks?,9 Years ago,518,TEMPORAL,Is temporal,9 Years ago,year
How much longer was Gordon's NASCAR Xfinity Series career than his IndyCar Series career?,2 years,518,TEMPORAL,Is temporal,2 years,year
What was the age when Ryan Hunter-Reay won Skip Barber National champion in 1999?,Age of 19,521,AGE,Is temporal,Age of 19,year
What was the distance in years between his first and last win on the IndyCar coruti?,10 years,521,TEMPORAL,Is temporal,10 years,year
How old was Hinter-Reay when he won IndyCar Rookie of the Year?,26,521,AGE,Is temporal,26,year
How many years did Ryan Hunter-Reay was participated in Rolex Grand-Am Sports Car Series from 2006?,7 Years,521,TEMPORAL,Is temporal,7 Years,year
How many years ago did Ryan Hunter-Reay won WorldCom Rising Star Award?,20 Years ago,521,TEMPORAL,Is temporal,20 Years ago,year
How many years ago did Timo Glock last race in Formula One World Championship career?,10 Years ago (2012),523,TEMPORAL,Is temporal,10 Years ago (2012),not defined
What was the age when Timo Glock participated in Formula BMW 2001?,Age of 19,523,AGE,Is temporal,Age of 19,year
How many years were between Glock's best finish in his  DTM career and his first best finish in his Champ Car career?,13,523,COUNT,Is temporal,13,year
How old was Glock for his last entry in the Formula One World Championship?,30,523,AGE,Is temporal,30,year
How many years after Dennis Erickson's first coaching job did he become head coach for the Salt Lake Stallions?,50,540,COUNT,Is temporal,50,year
In what year did Dennis Erickson receive his second national champion award?,1991,540,TEMPORAL,Is temporal,1991,year
When was the last year that Dennis Erickson coached for an NFL team?,2004,540,TEMPORAL,Is temporal,2004,year
How many years did Dennis Erickson worked as Head coach for Idaho from 1982?,3 Years,540,TEMPORAL,Is temporal,3 Years,year
What was the age when Dennis Erickson won Big Sky Champion in 1985?,Age of 38,540,AGE,Is temporal,Age of 38,year
What year did Dennis Erickson coach at Billings Central Catholic High School?,1971,540,TEMPORAL,Is temporal,1971,year
What was the age when Derrell Palmer awarded TCU Hall of Fame in 1978?,Age of 56,546,AGE,Is temporal,Age of 56,year
How many years did Derrell Palmer play for the Cleveland Browns?,4 years,546,TEMPORAL,Is temporal,4 years,year
How old was Derrell Palmer when he entered the NFL draft?,21 years old,546,TEMPORAL,Is temporal,21 years old,year
When did Derrell Palmer last play a professional sport?,1953,546,TEMPORAL,Is temporal,1953,not defined
How many total years did Derrell Palmer play for the NFL?,7 years,546,TEMPORAL,Is temporal,7 years,year
How many years ago did Derrell Palmer was died?,13 Years ago (2009),546,TEMPORAL,Is temporal,13 Years ago (2009),not defined
What was the age when Derrick Brooks won NFL Defensive Player of the Year in 2002?,Age of 29,547,AGE,Is temporal,Age of 29,year
What year was the most illustrious of Brooks' career?,2002,547,TEMPORAL,Is temporal,2002,year
When was the last time that Derrick Summers made the second team all arena?,2018,551,TEMPORAL,Is temporal,2018,year
How old was Derrick Summers when he played for the Jacksonville Sharks in 2011?,23 years old,551,TEMPORAL,Is temporal,23 years old,year
How many years did Derrick Summers have in his playing career?,8 years,551,TEMPORAL,Is temporal,8 years,year
How many years did Derrick Summers play for the Jacksonville Sharks?,3,551,COUNT,Is temporal,3,year
How old was Emmitt Smith when he graduated college?,20,558,AGE,Is temporal,20,year
How old was Emmitt Smith when he played in the Pro Bowl the last time?,30,558,AGE,Is temporal,30,year
How many years did Emmitt Smith play for the Dallas Cowboys?,12 years,558,TEMPORAL,Is temporal,12 years,year
How old was Emmitt Smith when he began playing for the Dallas Cowboys?,21 years old,558,TEMPORAL,Is temporal,21 years old,year
What is the age when Emmitt Smith  was received the award of NFL Most Valuable Player 1993?,At the age of 24,558,AGE,Is temporal,At the age of 24,not defined
How many years did Emmitt Smith was played for Dallas Cowboys?,12 years (1990-2002),558,TEMPORAL,Is temporal,12 years (1990-2002),not defined
How long before Jeelani died did his NBA career end?,37 years,561,TEMPORAL,Is temporal,37 years,year
When was the last year of college for Abdul Jeelani?,1976,561,TEMPORAL,Is temporal,1976,year
How long did Abdul Jeelani's playing career last?,13 years,561,TEMPORAL,Is temporal,13 years,year
For how many years did Abdul Jeelani play professional basketball?,13,561,COUNT,Is temporal,13,year
How old was Jeelani when he first played for the Dallas Mavericks?,26,561,AGE,Is temporal,26,year
When did Abdul Jeelani start attending college?,1972,561,TEMPORAL,Is temporal,1972,not defined
How much longer was Jeelani's NBA career than his college career?,9 years,561,TEMPORAL,Is temporal,9 years,year
How old was Belus Smawley when he attended Appalachian State in 1939?,21 years old,566,TEMPORAL,Is temporal,21 years old,year
How long was Belus Smawley playing career?,6 years,566,TEMPORAL,Is temporal,6 years,year
How old was Smawley when he started playing for the 	St. Louis Bombers?,28,566,AGE,Is temporal,28,year
How much longer did Smawley coach for Pembroke State than played for the Baltimore Bullets?,3 years,566,TEMPORAL,Is temporal,3 years,year
How long did Belus Smawley's coaching career last?,5 years,566,TEMPORAL,Is temporal,5 years,year
How many years did Belus Smawley was active carreer since 1946?,6 Years (1946-1952),566,TEMPORAL,Is temporal,6 Years (1946-1952),not defined
What year did Bill Hewitt play for the Chicago Bulls?,1974,568,TEMPORAL,Is temporal,1974,year
How many years did Bill Hewitt play in his career?,6 years,568,TEMPORAL,Is temporal,6 years,year
How long did Bill Hewitt play for the Lakers?,1 year,568,TEMPORAL,Is temporal,1 year,year
How old was Hewitt when he played for the Chicago Bulls?,30,568,AGE,Is temporal,30,year
How much longer did Hewitt's NBA career last than his college career?,2 years,568,TEMPORAL,Is temporal,2 years,year
How many years does Bill Hewitt was in active career?,6 Years (1968–1974),568,TEMPORAL,Is temporal,6 Years (1968–1974),not defined
What was the age when Bill Hosket was received the award of NBA champion (1970)?,Age of 24,569,AGE,Is temporal,Age of 24,year
How much longer was Hosket's NBA career than his college career?,1 year,569,TEMPORAL,Is temporal,1 year,year
How many years did Bill Hosket play in his career?,4 years,569,TEMPORAL,Is temporal,4 years,year
What year did Bill Hosket win a gold medal in the Olympic Games?,1968,569,TEMPORAL,Is temporal,1968,year
How many years did Bill Hosket was played for Buffalo Braves?,2 Years (1970-1972),569,TEMPORAL,Is temporal,2 Years (1970-1972),not defined
How many years after entering the NBA draft did Hosket play for the Buffalo Braves?,2,569,COUNT,Is temporal,2,year
What was the age of Janice Lawrence Braxton When he played Olympic Games?,Age of 22,577,AGE,Is temporal,Age of 22,year
How old was Janice Lawrence Braxton when she entered the WNBA Draft?,35 years old,577,TEMPORAL,Is temporal,35 years old,year
How old was Braxton when she won a silver medal in Rio De Janiero?,19,577,AGE,Is temporal,19,year
How many years after winning a gold medal at the Olympic Games did Braxton play for the Cleveland Rockers?,13,577,COUNT,Is temporal,13,year
What year did Janice Lawrence Braxton win a gold medal in the Olympics?,1984,577,TEMPORAL,Is temporal,1984,year
What year did Marcos Leite win gold in the FIBA AmeriCup games?,1984,579,TEMPORAL,Is temporal,1984,year
How many year did Marcos Leite playing career last?,22 years,579,TEMPORAL,Is temporal,22 years,year
How many years longer was Leite's playing career than his college career?,9,579,COUNT,Is temporal,9,year
How old was Stéphane Antiga when he won the FIVB World Championship?,26 years old,588,TEMPORAL,Is temporal,26 years old,year
How many years were between the time Antiga first played professionally and when he began coaching?,20,588,COUNT,Is temporal,20,year
How old was Antiga when he first played for Paris Volley?,22,588,AGE,Is temporal,22,year
How old was Stéphane Antiga the year he medaled in Argentina?,26,588,AGE,Is temporal,26,year
How long after 20th Century Studios was founded was it owned by Walt Disney?,84 years,592,TEMPORAL,Is temporal,84 years,year
How much longer was 20th Century Studios owned by News Corporation than 21st Century Fox?,12 years,592,TEMPORAL,Is temporal,12 years,year
"How many years has 20th Century Studios, Inc. been in existence?",87 years,592,TEMPORAL,Is temporal,87 years,year
"When did the most recent owner of 20th Century Studios, Inc. acquire the company?",2019,592,TEMPORAL,Is temporal,2019,not defined
How many years has 888 Holdings PLC been in existence?,25 years,595,TEMPORAL,Is temporal,25 years,year
For how many years was ATT known as Southwestern Bell Corporation?,12,597,COUNT,Is temporal,12,year
for how long has the current ATT logo been in use?,6 years,597,TEMPORAL,Is temporal,6 years,year
How long ago was AT&T Inc. founded?,39 years,597,TEMPORAL,Is temporal,39 years,year
How long had AT&T been known by a different name?,22 years,597,TEMPORAL,Is temporal,22 years,year
When is Ambassadors Group was founded?,"Spokane, Washington (1967)",600,UNKNOWN,Is temporal,"Spokane, Washington (1967)",not defined
"Which year is founded of Ambassadors Group, Inc?",1967,600,TEMPORAL,Is temporal,1967,not defined
When was the University of Cambridge was established?, 1209,606,TEMPORAL,Is temporal, 1209,not defined
How many years ago University of Cambridge Founded?,813 years ago,606,TEMPORAL,Is temporal,813 years ago,year
