question,answer,table_id,answer_type,is_temporal
How many days after Jeffrey Edward Epstein's apprehension was his final mugshot taken?,3 days,340,TEMPORAL,True
How old was Jeffrey Epstein was convicted in 2008?,55 Years,340,TEMPORAL,True
What are the criminal charges against Jeffrey Epstein convicted in 2008?,Procuring an underage girl for prostitution; sex trafficking,340,UNKNOWN,False
What year was Jeffrey Epstein first convicted of sex trafficking?,2008,340,TEMPORAL,True
What was Nicki Minaj given birth name in 1982?,Onika Tanya Maraj,347,UNKNOWN,False
How old was Nicki Minaj when she married Kenneth Petty in 2019?,37 years old,347,TEMPORAL,True
For how many years was Nicki Minaj with her second partner?,3,347,COUNT,True
How long was Nicki Minaj with her first partner when she started performing?,4 years,347,TEMPORAL,True
How many years has Nicki Minaj been active in her career?,18 years,347,TEMPORAL,True
How old was Minaj when her career began?,22,347,AGE,True
How long after Minaj's career began did she marry Kenneth Petty?,15 years,347,TEMPORAL,True
How old was Nicki Minaj when she ended her partnership with Safaree Samuels?,32,347,AGE,True
How many years between Nicki Minaj's relationship between Safaree Samuels and Meek Mill?,One year.,347,TEMPORAL,True
How old was Nicki Minaj when she got married?,36,347,AGE,True
When did Nicki Minaj break up with her first partner?,2014,347,TEMPORAL,True
How much longer did Minaj's relationship with Safaree Samuels last than with Meek Mill?,12 years,347,TEMPORAL,True
How many years was Paul Gauguin married to Teha'amana?,2,349,COUNT,True
What age did Paul Gauguin die at?,54,349,AGE,True
How many times was Paul Gauguin married?,2,349,COUNT,False
How many years ago did Paul Gauguin die?,119,349,COUNT,True
At what age Paul Gauguin married Mette-Sophie Gad?,25,349,AGE,True
At what age Paul Gauguin seperated Mette-Sophie Gad?,46,349,AGE,True
At what age Paul Gauguin seperated Teha'amana?,45,349,AGE,True
To whom was Paul Gauguin’s longest marriage?,Mette-Sophie Gad,349,UNKNOWN,False
How many years was Paul Gauguin married to Mette-Sophie Gad?,21,349,COUNT,True
What is the Notable work by Pierre Auguste Cot in 1873?,Springtime,350,UNKNOWN,False
How old was Pierre Auguste Cot when he died?,46,350,AGE,True
When did Pierre Auguste Cot write The Storm?,He wrote the storm in 1880.,350,TEMPORAL,True
How old was Pierre Auguste Cot at his death?,46,350,AGE,False
When did Pierre Auguste Cot write Springtime?,He wrote springtime in 1873.,350,TEMPORAL,True
How old was Pierre Auguste Cot when he painted The Storm?,43,350,AGE,True
In what year was Pierre Auguste Cot born?,1837,350,TEMPORAL,True
What is the date of birth of Pierre Auguste Cot?,17 February 1837,350,TEMPORAL,True
When was Pierre Auguste Cot born?,"Pierre Auguste Cot was born on February 17, 1873.",350,TEMPORAL,True
At what age did Pierre Auguste Cot finish The Storm?,43,350,AGE,True
What painting did Pierre Auguste Cot finish three years before his death?,The Storm,350,UNKNOWN,True
What painting did Pierre Auguste Cot finish at the age of 36?,Springtime,350,UNKNOWN,False
At what age Stephen Hawking married Jane Wilde?,23,352,AGE,True
At what age Stephen Hawking divorced Jane Wilde?,53,352,AGE,True
At what age Stephen Hawking married Elaine Mason?,53,352,AGE,True
How old was Stephen Hawking when he wrote his Thesis in 1966?,24 years old,352,TEMPORAL,True
How many years ago did Stephen Hawking was died?,4 Year ago,352,TEMPORAL,True
How many awards won by Stephen Hawking in 1976?,Three,352,COUNT,False
What year did Stephen Hawking win the Presidential Medal of Freedom?,2009,352,TEMPORAL,True
How old was Stephen Hawking when he married his first wife in 1965?,23 years old,352,TEMPORAL,True
How many years before Stephen Hawking died did he win the Copley Medal?,12,352,COUNT,True
At what age did Stephen Hawking divorce his first wife?,53,352,AGE,True
How many years did Stephen Hawking and Jane Wilde was married relatioship?,30 years,352,TEMPORAL,True
How many years ago did Stephen Hawking released the Properties of Expanding Universes?,56 Years ago,352,TEMPORAL,True
What was Stephen Hawking's Thesis title he wrote in 1966?,Properties of Expanding Universes,352,UNKNOWN,False
How old was Stephen Hawking when he was awarded the BBVA Foundation Frontiers of Knowledge Award in 2015?,73 years old,352,TEMPORAL,True
At what age did Stephen Hawking win the Hughs Medal?,34,352,AGE,True
How old was Stephen Hawking when he died?,76,352,AGE,True
How many Albert Einstein Award won by Stephen Hawking from 1966-2015?,Two,352,COUNT,False
At what age did Steve Jobs become active in his career?,21,353,AGE,True
How many years after becoming active did Steve Jobs get married?,15,353,COUNT,True
How many children's Steven Paul jobs have?,4,353,COUNT,False
Chrisann Brennan and Steven Paul jobs are Partner for how long?,5,353,UNKNOWN,True
How many years ago did Steve Jobs was died?,11 years ago,353,TEMPORAL,True
What is the age of Steve Jobs when married Laurene Powell​?,Age of 36,353,AGE,True
How many years ago did Steve Jobs presenting the iPhone 4?,12 Years ago,353,TEMPORAL,True
At what age did Steve Jobs marry his spouse?,36,353,AGE,True
Steven Paul Jobs at what age marry Laurene Powell?,36,353,UNKNOWN,True
At what age did Steve Jobs end his partnership with Chrisann Brennan?,22,353,AGE,True
How many years was Steve Jobs active in his career?,35 years,353,TEMPORAL,True
Steven Paul Jobs at what age marry Laurene Powell?,36,353,UNKNOWN,True
How many years Steven Paul Jobs and Chrisann Brennan are partners?,5,353,COUNT,True
Steven Paul Jobs have been board member of how many companies?,2,353,COUNT,False
How many years after first becoming active did Steve Jobs get married?,15,353,COUNT,True
How many years was Steve Jobs in a relationship with his partner Chrisann Brennan?,5 years,353,TEMPORAL,True
How old was Steve Jobs when he married Laurene Powell in 1991​?,36 years old,353,TEMPORAL,True
At what age did Steve Jobs first have a partner?,17,353,AGE,True
"What is the year of his notable work ""The Gross Clinic""?",1875,356,TEMPORAL,True
How old was Thomas Eakins when he died?,71,356,AGE,True
What was the name of the painting that Thomas Eakins painted in 1908?,William Rush and His Model,356,UNKNOWN,False
What year did Thomas Eakins paint The Gross Clinic?,1875,356,TEMPORAL,True
How old was Thomas Eakins when he painted Max Schmitt in a Single Scull?,27 years old,356,TEMPORAL,True
At what age his work The Agnew Clinic Clinic came?,45,356,AGE,True
At what age Thomas Eakins die?,71,356,AGE,True
At what age his work The Gross Clinic came?,31,356,AGE,True
What was the first award that Alimuddin Zumla won?,Weber-Parkes Trust Medal,364,UNKNOWN,False
How many awards has Alimuddin Zumla won in the last ten years?,6,364,COUNT,True
How old was Alimuddin Zumla when he won the 2021 EU-EDCTP Pascoal Mocumbi Prize?,66 years old,364,TEMPORAL,True
How old was Alimuddin Zumla when he won the 1999  Weber-Parkes Trust Medal?,45 years old,364,TEMPORAL,True
What year did Alimuddin Zumla win the Union Medal?,2018,364,TEMPORAL,True
What was the name of the most recent award that Alimuddin Zumla received?,EU-EDCTP Pascoal Mocumbi Prize,364,UNKNOWN,False
How old was Zumla when he won the Mahathir Science Award?,65,364,AGE,True
How long after Zumla wrote his thesis did he win the  Weber-Parkes Trust Medal?,12 years,364,TEMPORAL,True
How many years are between when Zumla won the EU-EDCTP Pascoal Mocumbi Prize and the Karolinska Institutet Science Award?,9,364,COUNT,True
How many awards did he win?,4,369,COUNT,False
What award did Adolf von Baeyer receive in 1903?,Liebig Medal,369,UNKNOWN,False
How old was Adolf von Baeyer when he won the Nobel Prize for Chemistry?,70 years old,369,TEMPORAL,True
At what age Adolf von Baeyer married Adelheid Bendemann?,32,369,AGE,True
At what age does Adolf von Baeyer receive Nobel Prize?,69,369,AGE,True
how many children's Adolf von Baeyer have?,3,369,COUNT,False
How old was he when he won the Nobel?,70,369,AGE,True
How old was he when he got married?,33,369,AGE,True
How old was Adolf von Baeyer when he got married?,33 years old,369,TEMPORAL,True
How many years before his death did Adolf von Baeyer win the Nobel Prize in Chemistry?,12 years,369,TEMPORAL,True
How long had Adolf von Baeyer been married when he won the Davy Medal?,13 years,369,TEMPORAL,True
At what age Adolf von Baeyer married Adelheid Bendemann?,32,369,AGE,True
At what age does Adolf von Baeyer received Nobel Prize?,69,369,AGE,True
How many children's did Adolf von Baeyer have?,3,369,COUNT,False
How many years before Johann Friedrich Wilhelm Adolf Baeyer's death did he win the Nobel Prize for Chemistry?,12,369,COUNT,True
At what age did Johann Friedrich Wilhelm Adolf Baeyer win the Davy Medal?,51,369,AGE,True
How many years after marrying his spouse did Johann Friedrich Wilhelm Adolf Baeyer win the Liebig Medal?,35,369,COUNT,True
how many spouses does Albert A. Michelson have?,2,370,COUNT,False
What award did Albert A. Michelson receive in 1907?,Nobel Prize in Physics,370,UNKNOWN,False
At what age Albert A. Michelson married his first wife Margaret Hemingway?,24,370,AGE,True
How many children's does Albert A. Michelson have in total?,6,370,COUNT,False
When did Albert A. Michelson marry Edna Stanton?,1899,370,TEMPORAL,True
How many children did he  have?,6,370,COUNT,False
How old was he when he won the Nobel Prize?,55,370,AGE,True
What was the name of the spouse Albert A. Michelson married in 1877?,Margaret Hemingway,370,UNKNOWN,False
At what age Albert A. Michelson die?,78,370,AGE,True
How many children's does Albert A. Michelson have?,6,370,COUNT,False
How many years after his divorce did Albert A. Michelson get remarried?,1 year,370,TEMPORAL,True
At what age Albert A. Michelson married his second wife Edna Stanton?,46,370,AGE,True
How old was Albert A. Michelson when he got married for the first time?,25 years old,370,TEMPORAL,True
How many years between his first award and last award?,26,370,COUNT,True
What year did Art Wilson play for the Cleveland Indians?,1921,400,TEMPORAL,True
How old was Art Wilson when he made his MLB debut in 1908?,23 years old,400,TEMPORAL,True
How much longer did Wilson play for the New York Giants than the Boston Braves?,3 years,400,TEMPORAL,True
How long after his last MLB appearance did Wilson die?,39 years,400,TEMPORAL,True
How many years did Art Wilson play for MLB?,13 years,400,TEMPORAL,True
How many years after his MLB debut did Art Wilson play for the Pittsburgh Pirates?,8,400,COUNT,True
What was Art Wilson's last year playing in the Major League?,1921,400,UNKNOWN,True
How many years did Babe Young play for MLB?,12 years,401,TEMPORAL,True
How old was Young when he made his MLB debut?,21,401,AGE,True
How many years longer did Young play for the New York Giants the second time than for the Cincinnati Reds?,2,401,COUNT,True
How many years after his final MLB appearance did Young die?,35,401,COUNT,True
What year did Babe Young make his MBL debut?,1936,401,TEMPORAL,True
How old was Babe Young when he began his career with MLB?,21 years old,401,TEMPORAL,True
How many years did Babe Young was played for Cincinnati Reds?,2 Years,401,TEMPORAL,True
What was the age of Babe Young When he played MLB debut?,Age of 21,401,AGE,True
How long after McCoy made his last MLB appearance did he die?,70 years,405,TEMPORAL,True
How long after making his MLB debut did McCoy play for the Philadelphia Athletics?,2 years,405,TEMPORAL,True
How old was McCoy when he made his MLB debut?,23,405,AGE,True
What was the first professional baseball team that Benny McCoy played for?,Detroit Tigers,405,UNKNOWN,False
For how many years did Benny McCoy play professional baseball?,3,405,COUNT,True
How many total years did Benny McCoy for MLB?,3 years,405,TEMPORAL,True
When was the last season that Benny McCoy played professionally?,1941,405,TEMPORAL,True
How old was Benny McCoy when he made his MLB debut?,23 years old,405,TEMPORAL,True
How may years did Benny McCoy play for the Detroit Tigers?,1 year,405,TEMPORAL,True
How many years ago did Current constitution was established in Brazil?,34 Years ago (1988),424,TEMPORAL,True
How many years ago did Brazil was declared as republic?,133 years ago (1889),424,TEMPORAL,True
How many years were between the end of the reign of the last monarch and when Denmark-Norway was established?,14,430,COUNT,True
How many colors were on the Banner of the realms of the Kalmar Union?,two,430,COUNT,False
How long did the Kalmar Union last?,140 years,430,TEMPORAL,True
How many years did the last monarch of the Kalmar Union rule?,10 years,430,TEMPORAL,True
How long after the inception of The Kalmar Union did the reign of Eric of Pomerania end?,35 years,430,TEMPORAL,True
How many kingdoms preceded the Kalmar Union?,three,430,COUNT,False
How many years long was in the last reign of the Kalmar Union?,10,430,COUNT,True
How many Prime Ministers did the Mexican Empire have?,one,433,COUNT,False
How many years was José Manuel de Herrera the Prime Minister of Mexican Empire?,1 year,433,TEMPORAL,True
How many months after the Plan of Iguala did the Independence of Mexico happen?,seven,433,COUNT,True
How many countries preceded the Mexican Empire?,one,433,COUNT,False
How many years did the Mexican Empire last?,2 years,433,TEMPORAL,True
How long after the Plan of Iguala was the Independence of Mexico?,7 months,433,TEMPORAL,True
How many years was José Manuel de Herrera Prime Minister of the Mexican Empire?,1 year,433,TEMPORAL,True
How many years prior to Agustin I's rule was the Plan of Iguala?,1 year,433,TEMPORAL,True
How long after the French occupation of Algeria was its independence?,132 years,436,TEMPORAL,True
"Prior to Al Jazâ'ir, which dynasty lasted the longest?",Zayyanid dynasty,436,UNKNOWN,False
How many years longer was the time between  Hammadid dynasty and the Zayyanid dynasty and the Rustamid dynasty and the Zirid dynasty?,25,436,COUNT,True
How many days after the Belarusian People's Republic formation did Belarus gain Independence from Russia?,17 Days,438,TEMPORAL,True
How long has Belarus been under it's current Constitution?,28 years,438,TEMPORAL,True
How many years were there between Independence from Russia and Independence from the USSR?,73 years,438,TEMPORAL,True
How much time elapsed between when Mars Express was inserted and when Beagle 2 landed?,6 minutes,452,TEMPORAL,True
How many days does Mars Express travelled in space to reach mars?,206 days travelled,452,TEMPORAL,True
How many years ago did Mars Express did Orbital insertion?,9 Years ago,452,TEMPORAL,True
How many month left the Mars Express mission duration?,7 month left,452,TEMPORAL,True
How many days did it take for Mars Express to reach Mars?,5 months 25 days,452,TEMPORAL,True
"If Mars Express begins its orbit at 10:00 am, what time will it reach the same point?",5:30 pm,452,TEMPORAL,True
"Rounding up, what was the difference in planned and elapsed time of the Orbiter Mission duration?",4 years.,457,TEMPORAL,True
How many days Chandrayaan-2 was landed in moon after launch?,46 days,457,TEMPORAL,True
How many days Chandrayaan-2 was Orbital insertion held after launch?,29 days,457,TEMPORAL,True
How many years ago did Chandrayaan-2 was launched?,3 Years ago (2019),457,TEMPORAL,True
What was the difference between planned and elapsed time of Vikramlander mission duration?,14 days,457,TEMPORAL,True
How many years longer is the orbiter's planned mission duration than it's current elapsed duration?,5,457,COUNT,True
How long after the launch date was the moon lander's landing date?,2 months,457,TEMPORAL,True
Around what year would Chandrayaan-2's orbiters planned mission duration end according to the launch date?,2027,457,TEMPORAL,True
How many days did the Chandrayaan-2 passed between launch date and landing date?,46 Days,457,TEMPORAL,True
When did the Black Dog Halt first become known by that name?,8 June 1953,464,TEMPORAL,True
When did the Black Dog Halt fall into disuse?,20 September 1965,464,UNKNOWN,True
For how many years did Black Dog Siding operate under its original name?,90,464,COUNT,True
How long did Black Dog Siding remain open?,102 years,464,TEMPORAL,True
What is the status of Black Dog Halt as of today?,disused,464,UNKNOWN,False
When did the Black Dog Halt first operated?,3 November 1863,464,TEMPORAL,True
On what date was the second opening of the Cheltenham Spa station?,7 July 1919,465,TEMPORAL,False
When was the first opening of the Cheltenham Spa station?,30 March 1908,465,TEMPORAL,True
How many year before the station closed for the last time was the picture taken?,7,465,COUNT,True
How long after originally opening as  Cheltenham Malvern Road was it renamed Cheltenham Spa Malvern Road?,17 years,465,TEMPORAL,True
How many years did Cheltenham Spa station was working from re-opened in 1919?,47 Years,465,TEMPORAL,True
How many years ago did Cheltenham Spa station was opened in  Malvern Road?,114 years ago,465,TEMPORAL,True
What was the name of Cheltenham station in 1915?,Cheltenham Malvern Road,465,UNKNOWN,False
How many years was the Cheltenham Spa station open before it closed for the first time?,9 years,465,TEMPORAL,True
What events took place during the same month though different years?,closed,465,UNKNOWN,True
When did AC/DC debut?,1973,468,TEMPORAL,True
How long has the band AC/DC been active in the music scene?,49 years,468,TEMPORAL,True
How many years has AC/DC been a band?,39,468,COUNT,True
How many members were in AC/DC in 2009?,5,468,COUNT,False
How many total members has AC/DC had?,11,468,COUNT,False
When was  AC/DC formed?,1973,468,TEMPORAL,True
How many years has AC/DC been performing?,49 years,468,TEMPORAL,True
"In Which place did Percy Faith born on April 7, 1908?","Toronto, Ontario, Canada",472,UNKNOWN,False
What year was Percy Faith born?,1908,472,TEMPORAL,True
What year did Percy Faith die?,1976,472,TEMPORAL,True
How old was Percy Faith when he died?,67,472,AGE,True
How many occupations did Faith have?,3,472,COUNT,False
If Percy Faith had died three month later in 1976 how old would he have been?,68 years old,472,TEMPORAL,True
While at work in 1949 how old was Faith?,41 years old,472,TEMPORAL,True
What year would Percy Faith have to have died to have lived to be 100 years old?,2008,472,TEMPORAL,True
How old was Percy Faith when he died?,67,472,AGE,True
"In Which place did Percy Faith died on February 9, 1976?","Encino, California, U.S.",472,UNKNOWN,False
How long ago did Faith die?,46,472,UNKNOWN,True
How old was  Owen when he began is senior career?,17,479,AGE,True
How old was Michael Owen the year he went to Real Madrid?,25,479,AGE,True
How many years were there between when Owen began to play for Real Madrid and stopped playing for Manchester United?,8,479,COUNT,True
How many more years did Owen play for Liverpool than Newcastle United?,4,479,COUNT,True
How long did Michael Owen senior career last?,17 years,479,TEMPORAL,True
How old was Draško Nenadić when he started playing for the national team?,22,492,AGE,True
How many professional clubs has Nenadić played for?,11,492,COUNT,False
For how many teams did Nenadićplay for in 2018?,Two,492,COUNT,False
For how many years did Draško Nenadić play with his first team?,3,492,COUNT,True
What is the nationality of Draško Nenadić in 2010?,Serbian,492,UNKNOWN,False
What is the player number of Draško Nenadić in 2022?,5,492,COUNT,False
How many times before 2020 has Emilie Hegh Arntzen won a medal in the European Championships?,2,493,COUNT,False
When was the first time that Emilie Hegh Arntzen won a medal in the European Championships?,2014,493,TEMPORAL,True
When was the last time that Emilie Hegh Arntzen has won a medal in any competition?,2021,493,TEMPORAL,True
How many gold medals won by Emilie Hegh Arntzen in European Championship from 2014?,Three,493,COUNT,False
How many years are between Arntzen's gold medal at the Croatia/Hungary	European Championship and her gold medal at the Spain World Championship?,7,493,COUNT,True
How old was Arntzen when she began to play for her first senior club?,16,493,AGE,True
When was the last time that  Emilie Hegh Arntzen received a medal in the World Championships?,2020,493,TEMPORAL,True
What competition did  Emilie Hegh Arntzen receive their first medal at?,Youth European Championship,493,UNKNOWN,False
In what year did  Emilie Hegh Arntzen receive their last medal?,2021,493,TEMPORAL,True
How many years did Emilie Hegh Arntzen was played for Byåsen HE from 2014?,3 Years,493,TEMPORAL,True
How old was Arntzen when she began playing for CSM București?,27,493,AGE,True
How many years separate Arntzen's most recent gold medal and her earliest gold medal?,7,493,COUNT,True
How many gold medals won by Emilie Hegh Arntzen in European Championship from 2014?,Three Gold medals,493,COUNT,False
How many years longer did Hasanefendić manage Switzerland than VfL Gummersbach?,3,503,COUNT,True
What was the age when Sead Hasanefendić was worked as manager for GWD Minden in 2013?,Age of 65,503,AGE,True
What was the second to last team that Sead Hasanefendić was managing?,VfL Gummersbach,503,UNKNOWN,False
How many years did Sead Hasanefendić was worked as manager for Switzerland team from 1980?,6 Years,503,TEMPORAL,True
How old was Hasanefendić when he managed his first team?,31,503,AGE,True
How longer after Hasanefendić stop managing RK Metaloplastika did he begin managing his current team?,38 years,503,TEMPORAL,True
How many years did Žarko Marković was played for Montenegro?,Six years (2006-2012),504,TEMPORAL,True
What is the number of senior clubs that Žarko Marković has played on for four years?,2,504,COUNT,True
How many years did Žarko Marković play for Montegengro?,6,504,COUNT,True
For how many years did Žarko Marković play for Montenegro?,7,504,COUNT,True
Which year did Novak Djokovic won the hat-tricks title of Australian Open?,2011-2013 and 2019-2021,509,TEMPORAL,True
How many Wimbledon titles won by Novak Djokovic from 2015?,4,509,COUNT,False
What year did Novak Djokovic win his first U.S. Open?,2011,509,TEMPORAL,True
What Olympic Games did Novak Djokovic win a bronze medal?,2008 Beijing,509,TEMPORAL,False
How many Olympic Games Novak Djokovic have participated?,1,509,COUNT,False
How many times he has won US Open?,3,509,COUNT,False
What is the highest ranging of Novak Djokovic till now?,1,509,UNKNOWN,False
How old was Novak Djokovic when he competed in the Olympic Games?,21 years old,509,TEMPORAL,True
For how many years did Roger Federer  play professionally before achieving his highest ranking?,6,512,COUNT,True
In how many Grand Slam singles tournaments did Roger Federer play in 2005?,2,512,COUNT,False
How many years after turning pro did Roger Federer win a silver Olympic medal?,14,512,COUNT,True
What is the number of Open Era players who have more singles career titles than Roger Federer?,one,512,COUNT,False
How many more Hopman Cups has Roger Federer won than Davis Cups?,two,512,COUNT,False
How many results does Roger Federer have at Wimbledon?,nine,512,COUNT,False
How old was Roger Federer when he go his first Olympic gold medal?,27 years,512,TEMPORAL,True
How many years after getting the Olympic gold medal did Roger Federer get his Olympic silver medal?,4 years,512,TEMPORAL,True
At what age did Roger Federer get his highest ranking?,23 years,512,TEMPORAL,True
Between 2007 and 2012 how many times did Dario Franchitti not finish first?,twice,516,COUNT,False
How many times did Dario Franchitti best finish in IndyCar Series career since 2004?,"4 Times  (2007, 2009, 2010, 2011)",516,TEMPORAL,False
How many years were between Franchitti's first race in his  IndyCar Series career and his first race in his Champ Car career?,5,516,COUNT,True
What was age when Dario Franchitti won BRDC Gold Star in 2009?,Age of 36,516,AGE,True
How much longer was Franchitti's IndyCar Series career than his NASCAR Camping World Truck Series career?,9 years,516,TEMPORAL,True
Which title won by Dario Franchitti in 2010?,IndyCar Series Champion,516,UNKNOWN,False
In what other series did Franchitti achieve his best finish the same year as his best finish in the NASCAR Cup Series?,NASCAR Xfinity Series,516,UNKNOWN,True
In which NASCAR series did Dario Franchitti drive the most races?,Xfinity Series,516,UNKNOWN,False
How many years had Dario Franchitti been retired from IndyCar when he was elected to the Motorsports Hall of Fame?,7 years,516,TEMPORAL,True
How many years did Davy Jones compete in the Le Mans division?,four,517,COUNT,True
When was the last year that Davy Jones competed in the Le Mans division?,1996,517,TEMPORAL,True
How many years did Davy Jones race the 24 Hours of Le Mans career?,4 years,517,TEMPORAL,True
How many NASCAR Cup Series and IndyCar Series races combined has Davy Jones run?,8,517,COUNT,False
What is the number of years that Davy Jones competed in the 24 Hours of Le Mans race?,5,517,COUNT,True
In what year would Davy Jones have been 30?,1994,517,TEMPORAL,True
What was the first division that Davy Jones competed in?,Champ Car,517,UNKNOWN,False
What year did Davy Jones run his first Daytona 500 race?,1995,517,TEMPORAL,True
How old was Davy Jones when he made his first Daytona 500 apperance?,31 years old,517,TEMPORAL,True
How old was Gordon in his first race of his ARCA Menards Series career?,21,518,AGE,False
How many years after his debut in his Stadium Super Trucks career did Gordon win a silver medal at the Summer X Games?,2,518,COUNT,True
What was age when Robby Gordon first race in NASCAR Cup Series career?,Age of 22 (1991),518,AGE,True
How many years ago did Robby Gordon won Stadium Super Trucks?,9 Years ago,518,TEMPORAL,True
How many medals won by Robby Gordon in Summer X Games from 2014?,2 Medals (1 Silver + 1 Bronze),518,COUNT,False
How many times has Robby Gordon won the Baja 1000?,3 times,518,COUNT,False
How many NASCAR races did Robby Gordon win?,"NASCAR Cup career: 396 starts, 3 wins, 16 top-five and 39 top-10 finishes",518,COUNT,False
How much longer was Gordon's NASCAR Xfinity Series career than his IndyCar Series career?,2 years,518,TEMPORAL,True
What was the age when Ryan Hunter-Reay won Skip Barber National champion in 1999?,Age of 19,521,AGE,True
How many major open wheel races did Hinter-Reay win altogether?,18,521,COUNT,False
What was the distance in years between his first and last win on the IndyCar coruti?,10 years,521,TEMPORAL,True
How old was Hinter-Reay when he won IndyCar Rookie of the Year?,26,521,AGE,True
How many years did Ryan Hunter-Reay was participated in Rolex Grand-Am Sports Car Series from 2006?,7 Years,521,TEMPORAL,True
How many of Ryan Hunter-Reay's IndyCar podiums were not wins?,28,521,COUNT,False
How many years ago did Ryan Hunter-Reay won WorldCom Rising Star Award?,20 Years ago,521,TEMPORAL,True
How many times did Timo Glock start a DTM race and did not win?,141 times,523,COUNT,False
In what series did Timo Glock have is best finish?,DTM,523,UNKNOWN,False
How many years ago did Timo Glock last race in Formula One World Championship career?,10 Years ago (2012),523,TEMPORAL,True
What was the age when Timo Glock participated in Formula BMW 2001?,Age of 19,523,AGE,True
How many times did Timo Glock was best finish in DTM career from 2013?,"2 Times (2018, 2020)",523,TEMPORAL,False
How many years were between Glock's best finish in his  DTM career and his first best finish in his Champ Car career?,13,523,COUNT,True
How old was Glock for his last entry in the Formula One World Championship?,30,523,AGE,False
What other series did Timo Glock race in the same year a his first entry in his   Formula One World Championship career?,Porsche Supercup,523,UNKNOWN,True
How many different DTM and Formula One teams was Timo Glock associated with?,8,523,COUNT,False
How many years after Dennis Erickson's first coaching job did he become head coach for the Salt Lake Stallions?,50,540,COUNT,True
In what year did Dennis Erickson receive his second national champion award?,1991,540,TEMPORAL,True
When was the last year that Dennis Erickson coached for an NFL team?,2004,540,TEMPORAL,True
How many years did Dennis Erickson worked as Head coach for Idaho from 1982?,3 Years,540,TEMPORAL,True
How many times did Dennis Erickson was won Big East Coach of the Year from 1985?,"3 Times (1991, 1992, 1994)",540,TEMPORAL,True
What was the age when Dennis Erickson won Big Sky Champion in 1985?,Age of 38,540,AGE,True
What year did Dennis Erickson coach at Billings Central Catholic High School?,1971,540,TEMPORAL,True
What was the age when Derrell Palmer awarded TCU Hall of Fame in 1978?,Age of 56,546,AGE,True
How many years did Derrell Palmer play for the Cleveland Browns?,4 years,546,TEMPORAL,True
How old was Derrell Palmer when he entered the NFL draft?,21 years old,546,TEMPORAL,True
When did Derrell Palmer last play a professional sport?,1953,546,TEMPORAL,True
What was the last award or honor given to Derrell Palmer?,TCU Hall of Fame,546,UNKNOWN,False
How many total years did Derrell Palmer play for the NFL?,7 years,546,TEMPORAL,True
How many years ago did Derrell Palmer was died?,13 Years ago (2009),546,TEMPORAL,True
How many parties does Joe’s Biden’s is associated with in his entire lifetime?,one,547,COUNT,False
What was the age when Derrick Brooks won NFL Defensive Player of the Year in 2002?,Age of 29,547,AGE,True
What state did Brooks play his entire collegiate and professional career in?,Florida,547,UNKNOWN,False
What year was the most illustrious of Brooks' career?,2002,547,TEMPORAL,True
What positions did Joe Biden hold in 2008?,"The United States Senator from Delaware, Chair of the International Narcotics Control Caucus, Chair of Senate Foreign Relations Committee",547,UNKNOWN,False
For how many seasons did Brooks play for Tampa Bay?,14,547,COUNT,False
When was the last time that Derrick Summers made the second team all arena?,2018,551,TEMPORAL,True
How old was Derrick Summers when he played for the Jacksonville Sharks in 2011?,23 years old,551,TEMPORAL,True
How many professional teams did Summers play for?,Eight,551,COUNT,False
How many years did Derrick Summers have in his playing career?,8 years,551,TEMPORAL,True
How many Ohio teams did Summers play for at the collegiate and professional level?,Three,551,COUNT,False
How many years did Derrick Summers play for the Jacksonville Sharks?,3,551,COUNT,True
How old was Emmitt Smith when he graduated college?,20,558,AGE,True
How old was Emmitt Smith when he played in the Pro Bowl the last time?,30,558,AGE,True
How many years did Emmitt Smith play for the Dallas Cowboys?,12 years,558,TEMPORAL,True
How old was Emmitt Smith when he began playing for the Dallas Cowboys?,21 years old,558,TEMPORAL,True
What is the age when Emmitt Smith  was received the award of NFL Most Valuable Player 1993?,At the age of 24,558,AGE,True
How many years did Emmitt Smith was played for Dallas Cowboys?,12 years (1990-2002),558,TEMPORAL,True
How long before Jeelani died did his NBA career end?,37 years,561,TEMPORAL,True
When was the last year of college for Abdul Jeelani?,1976,561,TEMPORAL,True
How long did Abdul Jeelani's playing career last?,13 years,561,TEMPORAL,True
For how many years did Abdul Jeelani play professional basketball?,13,561,COUNT,True
How old was Jeelani when he first played for the Dallas Mavericks?,26,561,AGE,True
When did Abdul Jeelani start attending college?,1972,561,TEMPORAL,True
How much longer was Jeelani's NBA career than his college career?,9 years,561,TEMPORAL,True
How old was Belus Smawley when he attended Appalachian State in 1939?,21 years old,566,TEMPORAL,True
How long was Belus Smawley playing career?,6 years,566,TEMPORAL,True
How old was Smawley when he started playing for the 	St. Louis Bombers?,28,566,AGE,True
How much longer did Smawley coach for Pembroke State than played for the Baltimore Bullets?,3 years,566,TEMPORAL,True
How long did Belus Smawley's coaching career last?,5 years,566,TEMPORAL,True
How many years did Belus Smawley was active carreer since 1946?,6 Years (1946-1952),566,TEMPORAL,True
What year did Bill Hewitt play for the Chicago Bulls?,1974,568,TEMPORAL,True
How many years did Bill Hewitt play in his career?,6 years,568,TEMPORAL,True
How long did Bill Hewitt play for the Lakers?,1 year,568,TEMPORAL,True
How old was Hewitt when he played for the Chicago Bulls?,30,568,AGE,True
